gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,phylo_coefficient
FLT4,LURAP1,3.552411022616954e-6,68115,0.9926219496502452,0.9058441596663148,0.9999964475889774,0.9999964475889774,1,0.00737805034975469,0.01627435203732536,0,1,9999999
BRAF,TGM2,4.794766544952472e-6,65671,0.04948222410848846,0.9058441596663148,0.9999952052334552,0.9999964475889774,0.5222392991446378,0.9505177758915117,1,-0.022379832243301537,0.7171948260191731,24.210368252679075
CDK4,WWOX,7.353249816680874e-6,65821,0.9999588309923496,0.9058441596663148,0.9999926467501832,0.9999964475889774,1,4.116900765049891e-5,1.4825740613846615e-4,0.09251938081236913,0.1260895005691733,14.703120454726475
PDCD1,KLHL32,1.1134012535477634e-5,79403,0.9999953032461992,0.9058441596663148,0.9999888659874644,0.9999946469716648,1,4.696753800770281e-6,2.0108071653750687e-5,0.09633068465223851,0.10108856801726993,17.06347272473419
BRAF,ZFP36L1,1.1710230730155574e-5,65187,0.14145279622321216,0.9058441596663148,0.9999882897692698,0.9999946469716648,1,0.8585472037767878,0.9859499116022286,0.005959707154536516,0.9209910375125838,22.42910231242908
KIT,BTBD16,1.1957705284003775e-5,68776,0.00137850096771344,0.9058441596663148,0.999988042294716,0.9999946469716648,0.03317242472926569,0.9986214990322866,1,0.008665484544853828,0.8867299316009997,17.56589544464405
BRAF,SERPINA3,1.5195024699008776e-5,68266,0.03873729304801346,0.9058441596663148,0.999984804975301,0.9999946469716648,0.438746764758804,0.9612627069519866,1,0.0631904791035824,0.2809858549807323,25.07404896160495
BRAF,FUCA2,1.5912125180696717e-5,65016,0.2157503531697164,0.9058441596663148,0.9999840878748192,0.9999946469716648,1,0.7842496468302835,0.9244215239715444,0.008544353054032117,0.8867096291880002,23.929704794293436
CDK4,GCH1,1.6921028319669593e-5,65170,0.04493452840297789,0.9058441596663148,0.9999830789716804,0.9999946469716648,0.4902461244498965,0.9550654715970222,1,0.046883008823207575,0.4280112544753412,17.25251990578895
PIK3CA,SLC27A6,2.012591477217046e-5,83004,0.9861304823347716,0.9058441596663148,0.9999798740852278,0.9999946469716648,1,0.01386951766522837,0.02845866304303529,0.05518509163090249,0.35211681059296907,13.173300826345013
BRAF,ASPH,2.1902473016434335e-5,64835,0.14145279622321216,0.9058441596663148,0.9999780975269836,0.9999946469716648,1,0.8585472037767878,0.9859499116022286,-0.09927703522293806,0.1094846965688652,28.257017177088695
BRAF,SERPINA5,2.432447505151693e-5,68924,0.02071455786586066,0.9058441596663148,0.9999756755249484,0.9999946469716648,0.2766171410331707,0.9792854421341394,1,0.054662363390243426,0.3571364677483148,27.078206603186526
FNTB,ZNF418,2.8915472607915995e-5,65240,0.999977295757834,0.9058441596663148,0.999971084527392,0.999994208454053,1,2.2704242166105004e-5,8.599031523299653e-5,-0.025100544719562013,0.6759216003787752,15.706290669225096
CDK4,JPH3,2.9553658754051145e-5,71098,0.9999574485836638,0.9058441596663148,0.999970446341246,0.999994208454053,1,4.255141633624504e-5,1.5284422567827906e-4,-0.12219234444898133,0.04783204994116895,19.414391582893074
HRAS,PHAX,3.279598291929113e-5,64602,1,0.9058441596663148,0.9999672040170808,0.999994181930803,1,0,0,0.10537012461037158,0.07956161675843551,13.986649925256055
ERBB2,RHD,3.643549822499616e-5,77281,0.4437308514316778,0.9058441596663148,0.999963564501775,0.9999924693598324,1,0.5562691485683222,0.70558023596725,0.12099797373657041,0.04533505220885459,17.299194455678602
FLT4,PAAF1,3.756958432321228e-5,64710,0.6920360980512523,0.9058441596663148,0.9999624304156768,0.9999924693598324,1,0.3079639019487477,0.43058345468987175,0.05255202388563385,0.39244236087446516,15.82550112855073
NRAS,H4C6,3.79619031422916e-5,99229,0.776879317316122,0.9058441596663148,0.9999620380968576,0.9999924693598324,1,0.22312068268387797,0.3267801856686998,0,1,9999999
BRAF,HFE,3.8898198575483286e-5,64502,0.8228761396380059,0.9058441596663148,0.9999611018014244,0.9999924693598324,1,0.17712386036199412,0.267876165865216,-0.025166544332316743,0.6735007236992018,19.947847584446315
BRAF,INPP4B,4.191030922160125e-5,64458,3.4430140760073646e-4,0.9058441596663148,0.9999580896907784,0.9999924693598324,0.0105716131355119,0.9996556985923992,1,-0.0333149821875205,0.586102749942152,29.923587192283136
RAF1,MRLN,4.243614513221023e-5,130124,0.9998032033252464,0.9058441596663148,0.9999575638548678,0.9999924693598324,1,1.9679667475369644e-4,6.148283391841793e-4,0,1,9999999
KDR,DENND1B,4.612042260143425e-5,65152,0.7307606867242133,0.9058441596663148,0.9999538795773986,0.9999924693598324,1,0.26923931327578665,0.38418542650516274,-0.014957250895982934,0.8090548449546814,15.906712124194913
CDK4,SNRNP200,4.731945059491342e-5,64386,0.9999999947761382,0.9058441596663148,0.9999526805494052,0.9999924693598324,1,5.223861787584383e-9,3.639674941689339e-8,-0.12126671090527473,0.05088496174572528,13.567902378929814
RAF1,TMEM275,4.831682147383683e-5,13025,0.8643603250636493,0.9058441596663148,0.999951683178526,0.9999924693598324,1,0.13563967493635065,0.2126321621694807,0,1,9999999
BRAF,PTGR1,4.918196028589814e-5,64363,0.11168486018185776,0.9058441596663148,0.999950818039714,0.9999924693598324,0.9242370971105716,0.8883151398181423,1,-0.04737102696986546,0.43717579731484263,31.45824908859786
FLT4,PRAMEF33,5.071620574684824e-5,25196,0.998532878233194,0.9058441596663148,0.9999492837942532,0.9999924693598324,1,0.00146712176680585,0.00380530262963893,0,1,9999999
BRAF,NCEH1,5.329417434337528e-5,64315,0.01292521205034496,0.9058441596663148,0.9999467058256566,0.9999924693598324,0.19143692805534904,0.9870747879496552,1,-0.007333427183236031,0.9036956308468292,9999999
BRAF,CLCF1,5.4467923963295426e-5,64489,4.954178249400923e-4,0.9058441596663148,0.9999455320760368,0.9999924693598324,0.01436584356907219,0.99950458217506,1,-0.0980911820187128,0.11173959266437462,25.28615371213342
BRAF,DDX60L,5.668370979205871e-5,64465,1.995576701650454e-4,0.9058441596663148,0.999943316290208,0.9999924693598324,0.00672317874659459,0.999800442329835,1,-0.077293608739765,0.21722736210017377,29.219197996548417
CDK4,NKD2,6.085641421496304e-5,64797,0.8348226788875904,0.9058441596663148,0.9999391435857852,0.9999924693598324,1,0.16517732111240957,0.2527871477491358,-0.018969909310149687,0.7575806783074763,14.458050231285249
HRAS,NDUFS4,6.167767269963987e-5,64414,0.7971051243826635,0.9058441596663148,0.9999383223273004,0.9999924693598324,1,0.20289487561733657,0.3009897536876668,-0.09872550403737859,0.12042246970065226,19.53170232170696
PDCD1,MYO3B,6.236118198900006e-5,77927,0.9995425023325392,0.9058441596663148,0.999937638818011,0.9999924693598324,1,4.5749766746072673e-4,0.00132080280814363,-0.031228184074269735,0.6176438604544319,16.104041416314725
CDK4,UNC79,6.243554893069138e-5,76549,0.5566416834722314,0.9058441596663148,0.9999375644510692,0.9999924693598324,1,0.4433583165277686,0.5854262822998585,0,1,9999999
RET,DEF8,6.261441256216251e-5,64218,0.9996171289224364,0.9058441596663148,0.9999373855874378,0.9999924693598324,1,3.8287107756362904e-4,0.00112840501859855,-0.0429017276092885,0.48243523229784546,20.31354067665787
BRAF,RALB,6.365811320897108e-5,64208,0.9971730666203908,0.9058441596663148,0.999936341886791,0.9999924693598324,1,0.00282693337960915,0.00685288012226857,-0.038856134614205735,0.5201989139986081,27.732323848370175
FGFR1,GUCY2C,6.717332217626413e-5,77081,0.11174858115991272,0.9058441596663148,0.9999328266778236,0.9999924693598324,0.9246612018497812,0.8882514188400873,1,0.0011666670694251036,0.9843852965159048,22.312189855109928
NRAS,FBXO6,7.285647855380384e-5,64126,0.3606117275884346,0.9058441596663148,0.9999271435214462,0.9999924693598324,1,0.6393882724115654,0.789479551868678,0.0466152620552471,0.43895036660485415,15.742362285785452
KIT,HAS2,7.315428473690857e-5,66369,0.999149886542469,0.9058441596663148,0.9999268457152632,0.9999924693598324,1,8.501134575310543e-4,0.00231595850156706,-0.06791379162254597,0.2762627984813163,14.685911073283222
