gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,phylo_coefficient
ERBB2,UBQLN2,1.376988246812488e-4,63916,0.8573426133535527,0.9859729071589798,0.9998623011753187,0.9999941310213415,1,0.14265738664644734,0.8533599129819417,0.04517972453690887,0.45685809296518187,18.27363135853708
KDR,LHFPL3,1.444147732305786e-4,142862,0.5742241399800962,0.9859729071589798,0.9998555852267694,0.9999941310213415,1,0.42577586001990375,0.9205201515928381,-0.053501536813867545,0.3926520773509429,9.906613428285956
FGFR1,BLVRB,1.460134847044157e-4,63693,0.41534983079987053,0.9859729071589798,0.9998539865152956,0.9999941310213415,1,0.5846501692001295,0.9386623118950987,0.04085921959142534,0.49020005218154217,12.755094076508867
RAF1,MTERF1,1.4639877826929808e-4,63877,0.8775461785910829,0.9859729071589798,0.9998536012217307,0.9999941310213415,1,0.12245382140891714,0.8533599129819417,0,1,9999999
PIK3CA,DOP1B,1.5067142207459113e-4,63673,0.6744819303329233,0.9859729071589798,0.9998493285779254,0.9999938605891571,1,0.32551806966707675,0.9008763865737184,0,1,9999999
MS4A1,IGFN1,1.5264173914706998e-4,73203,0.32293834088709616,0.9859729071589798,0.9998473582608529,0.9999938173592361,1,0.6770616591129038,0.9537246494820799,-0.022718323004945206,0.7072743698285959,16.19480115311187
KIT,GOLGA8A,1.5329224187904717e-4,63662,0.89523725563498735,0.9859729071589798,0.9998467077581209,0.9999938173592361,1,0.10476274436501265,0.8461280633151107,0.045427042562006255,0.44990871176568337,27.379737728951003
AKT1,TTYH1,1.5454249571288103e-4,64588,0.309540110747844,0.9859729071589798,0.9998454575042871,0.9999938173592361,1,0.6904598892521561,0.9537246494820799,0.01730108023619609,0.7751199585862927,18.910989387254542
CDK4,PARP6,1.5546823558790698e-4,63653,0.17614598451551555,0.9859729071589798,0.9998445317644121,0.9999938173592361,1,0.8238540154844844,0.9727042094281095,-0.0033468006453294826,0.9574160783537898,17.308261764833187
KIT,DNAJC22,1.558547973225727e-4,63837,0.17880659707430122,0.9859729071589798,0.9998441452026774,0.9999938173592361,1,0.8211934029256988,0.9727042094281095,-0.030478450450591704,0.6211898956893107,21.295366787627167
NRAS,COX18,1.5644459742747356e-4,63649,0.9118667580386083,0.9859729071589798,0.9998435554025725,0.9999938173592361,1,0.08813324196139172,0.8357889125493074,-0.08955415155342307,0.15145476226893662,22.402910044874858
NRAS,THAP8,1.5770611122518672e-4,64015,0.3792093264489493,0.9859729071589798,0.9998422938887748,0.9999938173592361,1,0.6207906735510507,0.9468708297243832,-0.08176967210383655,0.18917192314531844,20.082556434695103
NRAS,FBXO15,1.6044196996182103e-4,66243,0.7834837183749408,0.9862506270048806,0.9998395580300382,0.9999938173592361,1,0.2165162816250592,0.8708973625487143,-0.04706685994063658,0.4569603814015335,16.124317001930105
SMO,GASK1A,1.6272001211314506e-4,81660,0.9554118122395489,0.9862506270048806,0.9998372799878869,0.9999938173592361,1,0.04458818776045115,0.8123335280733143,0,1,9999999
PIK3CA,BNIP3L,1.6395238198385265e-4,63619,0.7693782918016971,0.9862506270048806,0.9998360476180161,0.9999938173592361,1,0.23062170819830285,0.8823092958949602,0.009527132157301216,0.875854300583638,19.81439662436709
AKT2,KCNQ1,1.653529677410753e-4,64541,0.38010331227385263,0.9862506270048806,0.9998346470322589,0.9999938173592361,1,0.6198966877261474,0.9468708297243832,0.033995197938713466,0.5823453766729525,24.960733972572154
NRAS,HOXA9,1.6888031536251087e-4,63600,0.9725160477276409,0.9958430805193932,0.9998311196846374,0.9999938173592361,1,0.027483952272359113,0.7858113679384552,-0.0968452069383982,0.12025970668096984,24.41435756861895
MS4A1,GRM8,1.7386913743686302e-4,73130,0.19302293419724736,0.9967862594745788,0.9998261308625631,0.9999938173592361,1,0.8069770658027526,0.9727042094281095,-0.01018112567140045,0.8673080253061954,11.115686444914559
ERBB2,ERICH3,1.7520602359714612e-4,97261,0.8870355259491678,0.9967862594745788,0.9998247939764029,0.9999938173592361,1,0.11296447405083221,0.8461280633151107,0,1,9999999
KIT,CDC37L1,1.7813464479438278e-4,63937,0.7831428362971876,0.9967862594745788,0.9998218653552056,0.9999938173592361,1,0.21685716370281238,0.8708973625487143,0.09130487915097789,0.12886494448787122,25.002996102885135
FGFR1,RTEL1,1.7870714140224024e-4,63749,0.6216940893753735,0.9967862594745788,0.9998212928585978,0.9999938173592361,1,0.3783059106246265,0.9104241473632569,0.1411128318401828,0.01549597342154623,17.98778082337549
