gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,survival_q_value,phylo_coefficient
EGFR,DLG4,3.229004565397688e-29,82464,0.00385912148878591,2.8890683261508214e-25,1,1,0.0747520417165855,0.996140878511214,1,-0.2169221487794505,1.191046887369446e-6,5.879059906105236e-6,3.491278173213996
EGFR,PXK,4.3221568051601815e-29,82400,3.3951900434792245e-11,3.8015933092708906e-25,1,1,9.9773023289597e-9,0.999999999966048,1,-0.1678393857975824,1.1274055938438524e-8,8.043144346197806e-8,3.507177489194614
EGFR,STMN1,6.615232809198025e-29,82079,6.390396001212713e-10,5.721514856675373e-25,1,1,1.2799709153073556e-7,0.9999999993609604,1,-0.3042507064860432,3.172873077454924e-12,4.22364901974592e-11,3.1587125369845763
EGFR,MEX3B,9.420802468427703e-29,82456,1.9383780696272697e-6,8.014477431091596e-25,1,1,1.367528890239608e-4,0.9999980616219304,1,-0.38568351275447116,7.060679664444131e-7,3.6392730642401463e-6,7.28168824425468
EGFR,ZEB1,1.614642560012495e-28,81882,2.593776133527244e-7,1.3092228282701315e-24,1,1,2.381778720419052e-5,0.9999997406223866,1,-0.0789953206652519,0.01060222564011277,0.02343239555576155,2.0255083859707943
EGFR,DDR2,1.7076732989898679e-28,84364,0.00484495530811435,1.3633538181196955e-24,1,1,0.09055252354903952,0.9951550446918856,1,-0.22740737700681835,4.277398886221645e-4,0.0012846669633645,1.694424354208668
EGFR,RNF138,2.06907913062066e-28,81827,9.938833549673328e-17,1.6268604909761902e-24,1,1,1.371788997546095e-13,1,1,-0.17022522600756482,2.516547109443122e-12,3.406731602165688e-11,4.375681685101788
EGFR,BAP1,2.978508266308925e-28,81746,9.661328822537097e-9,2.3069657906244078e-24,1,1,1.38200408904234e-6,0.9999999903386712,1,-0.2343293672791867,0.3095659109375284,0.4559587566631676,2.5423426573094954
EGFR,HNRNPR,3.986842831319982e-28,81681,6.291092254588461e-5,3.0425473807135167e-24,1,1,0.00256732662899033,0.9999370890774542,1,-0.24853493301204366,1.0965860842667788e-8,7.841946704378469e-8,4.181661306465612
EGFR,ANKRD44,4.667437121002842e-28,82326,3.1199220282515346e-12,3.4544479327901994e-24,1,1,1.261009793797207e-9,0.99999999999688,1,-0.22616878423967213,2.3569424687302343e-8,1.586608624340157e-7,3.3851620392198813
EGFR,DNAJC8,4.726284411070724e-28,81643,1.1324618877851952e-4,3.4544479327901994e-24,1,1,0.00419224159011498,0.9998867538112216,1,-0.23659827915023432,0.03932873549130895,0.07544216407229302,7.03414333395174
EGFR,EPM2A,6.667003867833105e-28,81566,9.938833549673328e-17,4.675371604288259e-24,1,1,1.371788997546095e-13,1,1,-0.12469152625048706,0.4293755556021423,0.6005876487773226,3.151222613574452
EGFR,HMG20A,8.906935499778042e-28,81501,4.771645355516238e-13,6.1628868110064216e-24,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.1746212565364674,1.5023196930871128e-8,1.047994337651943e-7,3.4518792082451366
EGFR,EBF1,1.9926722630798416e-27,87210,8.60626164398183e-9,1.3089586635476615e-23,1,1,1.2786618341231946e-6,0.9999999913937384,1,-0.14884767336576218,0.846372120394006,1,7.785881441264805
EGFR,ZNF546,2.7891838326438287e-27,82374,2.082702301197342e-23,1.773346651561669e-23,1,1,1.5223292466837758e-19,1,1,-0.03035343300333334,0.00393574235054533,0.00961062199645303,6.1754839304548055
EGFR,ZNF491,2.802143319614153e-27,84653,2.593963263137827e-7,1.773346651561669e-23,1,1,2.381778720419052e-5,0.9999997406036736,1,-0.22278838414680094,0.3765087081470538,0.5380305770625885,6.289007222372137
