index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
ABCE1,8.54,0,6.97,16.13,3.99,9.87,2.89,5.56,2.22,7,1.92,11.77,10.12,5.41,6.07,0,5.530564435,5.698337998,4.099539319
ABCF1,12.57,0,8.94,12.35,3.62,51.9,26.39,3.83,15.26,17.43,26.37,21.22,28.47,10.58,15.09,14.24792232,15.52691504,11.5848397,10.21346427
ABCF2,8.55,0,4.54,5.85,2.04,1.44,15.83,9.68,0.41,3.81,0,5.12,0.91,1.56,2.98,1.129025675,0.735994642,0.885788714,0.519319742
ABCF2P1,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,3.119182877,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,22.09,86.69,22.17,20.86,8.24,29.29,23.16,6.85,46.35,9.33,6.27,16.18,2.7,15.26,10.99,3.355203245,4.536427039,7.282860559,6.687625499
ABCG1,10.43,0,0.68,15.21,2.11,0,8.04,1.37,4.19,2.05,11.11,7,0,12.46,3.22,5.70839513,4.513696995,4.254651144,3.688482799
ABCG2,0,5.51,0.12,0.55,0.07,0,0,3.29,0,0.34,0,0.74,5.99,0.29,0.42,0,0.752957349,2.283633509,1.434479416
ABCG4,0,0,0,0.16,0,0,0,0,0,0,0,0.17,0,0,0.12,0,0.033847433,0.07332528,0.614130093
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05669445,17.93169718,26.64249878
ABCG8,0,9.01,0,0,0,0,0,0,0,0.14,0,0,0,0,0,2.288442649,0.041438914,10.00947338,11.46602423
ABHD1,0.5,0,2.65,0.9,0.89,0.65,0,7.78,0.47,0.48,0,4.63,0,0,0,2.51555699,0.227757401,1.776245514,1.570329323
ABHD10,1.5,0,7.95,14.46,2.67,11.95,4.97,0.38,18.16,10.15,0,4.34,0,3.25,3.34,0,5.715160273,8.7573065,2.782094563
ABHD11,20.14,0,0,18.13,0.23,2.41,19.65,4.2,27.88,1.79,10.29,11.28,13.85,9.34,10.53,2.544130377,4.606888456,19.56103198,7.69006781
ABHD11-AS1,0,0,0,0,0,0,0,0,0,0.84,0,0.79,0,0,0.7,0,0.637170252,2.070497667,1.734128978
ABHD12,13.55,46.44,3.15,15.76,3.29,5.88,5.55,1.93,10.66,2.6,20.92,6.17,3.15,6.17,4,5.200727334,5.697545384,8.364582521,6.749384335
ABHD12B,9.09,0,0.39,0.61,0.11,5.12,0,1.26,1.29,0.13,0,1.48,2.96,0,0,0,0.509764203,4.216517771,1.345337592
