index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
CLDN5,2.13,0,2,0.31,0.53,0,0,0.34,2.17,1.99,0,0,0,8.55,1.01,0,0.24602316,1.199185875,2.455123402
CLDN6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04631587,0.121278524,0,0.220048569
CLDN7,16.02,0,0,2.84,5.84,4.82,24.53,4.09,37.26,1.06,0,11.29,1.88,16.26,4.62,2.336883801,5.416458517,13.01732629,5.681615195
CLDN7P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99015804,0.722890672,0.391507985,0
CLDN8,0,0,0,0.2,0,0,0,0,0.36,0,0,0,0,0,0,0,0.504071113,0.218398575,0
CLDN9,0,0,1.78,0.6,0.16,0,0,0,0,0,0,0.16,0,0,0,0,0,0.288622753,1.450402254
CLDND1,29.12,0,11.42,24.26,7.9,35.64,2.92,9.77,13.07,17.74,0,10.41,6.76,19.56,7.98,1.117757089,5.505346656,11.40032177,3.452059439
CLDND2,2.81,0,3.11,2.89,0,0,0,4.52,0,0.42,36.5,0,0,0.72,1.07,0,0,2.371400442,1.986147723
CLEC10A,0,27.35,0,12.09,1.13,0.75,0,2.6,0,3.19,0,1.45,0,2.99,0,0,0.427102781,1.29535388,4.959604196
CLEC11A,0,0,0.77,1.74,0.86,6.23,0,2.17,2.77,0,9.86,7.91,0,0.47,10.08,0,1.323661214,3.504733614,5.870723952
CLEC12A,4.3,0,0,4.01,1.08,1.42,2.91,0.77,0,0.79,0,1.49,2.73,1.49,0.21,0,0.842058844,0.982256981,1.762889103
CLEC12A-AS1,0,0,0,0,0,0,0.64,0.11,0,0,0,0.16,0,0,0.08,0,0.15993682,0.230985752,0.290190441
CLEC12B,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.63,0,0,0,0.118857913,0
CLEC14A,3.46,0,0.91,2.33,1.26,3.18,0,0.8,0.33,0.82,0,2.03,0,5.68,2.62,2.781047962,2.820102148,1.963709821,8.771678194
CLEC16A,19.73,14.13,5.96,17.51,4.42,23.94,10.44,13.14,31.58,9.21,5.02,8.33,22.8,9.09,5.79,4.650255076,2.745128693,9.121013704,5.958601768
CLEC17A,1.53,0,0,0.4,0,0,0,0,0,4.79,0,0,0,0,0,0,0.067684003,0,0.491225239
CLEC18A,0,0,0,2.49,0,0.44,0,0.06,0,1.4,2.08,0.64,0.97,0.24,0.36,8.536096073,0.240443563,0.446472135,0.623232022
CLEC18B,0.71,0,0.06,0,0,0,0,0,0,0,0,0,0,0.85,0,18.5285219,0.335512812,0.581469702,0.24350268
CLEC18C,1.25,0,0.94,0.24,0.21,0,0,0.06,1.53,0.34,0,0.91,3.67,0.24,0.54,5.910997191,0.085628645,0.556504042,0.233047784
CLEC19A,1.83,0,0,0.17,0,0,0,0,0,0,4.09,0,1.66,0,0,0,0.123660717,0.401838011,0.336556254
CLEC1A,2.6,0,0,1.2,0.96,0,0,0,0,1.59,9.54,0,0,3.12,0.57,0,1.397592434,1.15339809,0.120752433
CLEC1B,0,0,0,1.34,0,0,0,1.48,0,0.12,0,0.11,0,0,0,0,0.114933708,1.493917662,0.93841421
CLEC20A,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,3.458143962,0.125239521,0,0.340853142
CLEC2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348888922,0.377907211,0
CLEC2B,0,0,0.58,4.55,4.35,2.28,0,1.3,24.49,10.73,0,3.85,18.86,0,1.48,0,3.35782443,1.558759805,3.481405258
CLEC2D,21.02,0,1.33,17.36,0.87,9.91,1.02,5.62,3.97,30.62,1.82,1.83,5.02,8.72,3.87,0,3.517582891,5.518151653,2.971082805
CLEC2L,3.04,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156282589,0.169281148,0.141780089
CLEC3A,0,0,0,0,0,0,133.6,2.03,9.62,0,0,0,0,0,0.64,0,0.351271408,1.826341713,2.166987289
CLEC3B,10.32,0,8.1,0.97,4.82,1.25,0,5.35,0,6.61,0,4.39,0.79,12.07,1.48,0,0.428230159,0.927695063,0.776983678
CLEC4A,0,0,0,3.31,0,0,0,0.94,0,1.66,0,1.82,0,2.57,0.26,0,0,1.4266661,0
CLEC4C,0,0,0,2.69,0,0,0,0,0,1.51,0,0,7.33,0,0,0,0,0,0.493442245
CLEC4D,0,0,0,0,0,1.08,0,0,0,0.39,0,0,0,0,0,0,0.308639054,0,0
CLEC4E,0,0,0,0,0,15.42,0,3.1,0,0,0,1.58,0,0,0,2.46341558,0.178429233,0.966349024,0.1618716
CLEC4F,0,0,0.42,0,0,0,0,0,3.9,1.24,0,0.26,0,0.97,0,0,0.17049584,0,0.309348796
CLEC4G,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0.360724094,7.293566087,8.726669583
CLEC4GP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727252943,1.575482133,2.63906525
CLEC4M,0,0,0,0,0,0,0,0,0,6.48,1.62,0,0,0,0,1.43224654,0.051869984,2.359735904,6.023247791
CLEC4OP,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0.590296923,0.494398529
CLEC5A,0.58,0,0,7,0.27,5.7,0.86,1.53,6.67,0,0,6.52,0,0,1.5,2.82078684,1.838827979,0.221307735,3.15102729
CLEC6A,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEC7A,8.71,0,0.27,28.78,4.51,9.81,4.96,7.52,47.12,4.54,35.26,2.53,25.86,9.51,3.66,0,4.882488136,3.380330399,3.927105449
CLEC9A,0,0,0,1.17,0,0,0,0,0,0.74,0,0.39,0,0,0,0,0.147639729,0.159919432,0
CLGN,0.27,0,0.18,0,0.33,0,0,0,0,1.24,0,0.34,0,0.23,1.41,0,2.39153342,1.457125573,1.084803575
CLHC1,7.96,0,6.19,5.3,0.16,2.39,0,7.77,10.06,5.55,0,6.94,26.65,11.38,6.88,0,3.365816843,5.159099124,3.053480344
CLIC1,5.35,0,8.83,34.14,13.85,21.14,11.2,4.58,13.37,20.43,13.39,42.19,28.18,15.13,19.72,23.98976079,37.14157925,19.52721675,14.58144703
CLIC1P1,0,0,0,0,0.5,0,0,0,0,0.6,0,0.56,0,1.03,0,0,2.913029745,2.524253141,0
CLIC2,16.85,0,1.04,3.33,0.83,2.91,0.48,0.51,0.56,5.87,0,1.1,1.73,1.24,0.58,0,1.262449651,0.804383483,0.808446045
CLIC3,0,0,0.85,0.59,2.79,0,0,0.65,0,0,0,0.91,0,2.74,0.95,12.01963763,0,0.943013041,0.394906565
CLIC4,24.51,42.01,16.81,18.8,13.44,51.08,1.44,8.46,34.97,10.74,3.32,10.77,10.02,9.2,13.85,3.911023796,16.38313492,15.23988873,6.510521391
CLIC4P1,0,0,3.01,1,1.55,0,0,0,0,0,0,0,0,0,0.84,0,2.75948313,5.123997964,2.145782026
CLIC4P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.122056391,0,0,0
CLIC4P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,1.402282936,1.215132496,0
CLIC5,8.45,3.88,2.33,7.61,1.24,0,0,0,0,0.42,0,0.77,0,7.29,0.6,0.558235663,0.181952663,0.175187814,0.623590476
CLIC6,1.37,0,0,0.73,0.33,0.26,1.66,0.81,0.76,0.19,2.53,1.5,1.18,0.66,4.31,0,0.49174357,52.90926136,1.387902191
CLINT1,22.29,10.31,12.77,22.12,8.43,44.67,2.76,11.67,14.85,14.17,8.31,18.12,54.28,17.03,12.1,0,11.2805675,22.63543752,8.51304655
CLIP1,20.01,9.43,8.07,18,10.47,23.31,41.49,15.28,35.6,8.75,9.67,17.04,30.7,23.14,10.31,0.313783848,7.034278561,7.927071585,7.237201675
CLIP1-AS1,0,14.14,1.21,1.43,1.74,0.61,0.76,0.53,0,0.44,0,1.55,0,9.66,0.45,0,0.816099212,8.082075285,2.326870687
CLIP2,8.88,8.6,26.42,2.78,1.34,20.13,22.12,7.37,2.83,2.5,0,3.74,6.06,4.05,1.57,6.317032604,2.116182801,1.239023236,4.099049822
CLIP3,2.73,7.05,4.1,1.77,1.76,11.91,15.72,4.45,6.06,8.96,14.84,3.23,9.79,3.38,2.9,7.733750906,2.240673078,3.155148813,2.236020756
CLIP4,0.35,0,4.1,12.09,5.65,25.35,0.6,5.98,0.17,1.94,7.85,1.53,3.47,4.93,0.65,5.987420056,0.298154079,1.291810308,1.131124869
CLK1,45.3,227.74,28.26,40.36,19.06,46.48,50.2,33.41,21.2,48.68,3.05,43.05,34.97,45.45,19.39,3.379215338,22.43652697,31.7260048,28.71833868
CLK2,44.34,0,22.21,11.14,3.45,23.91,43.51,3.45,30.12,6.57,2.31,21.11,27.87,10.4,9.23,7.95997052,12.62652663,22.35737493,21.13127971
CLK2P1,7.07,0,0.43,0,0.77,0,0,0,0.61,0,0,0.82,0,1.04,0,0,1.79284149,2.471583253,1.774332896
CLK3,54.04,0,12.89,21.85,8.31,26.71,76.06,21.39,40.4,16.12,11.96,21.32,60.35,17.79,15.43,2.278927528,3.321962522,6.369593419,3.968344459
CLK3P2,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263361639
CLK4,17.37,0,19.66,18.36,5.66,21.85,10.41,13.12,5,18.88,0,8.75,2.36,14.54,7.09,4.41063956,3.08820866,9.285440642,6.714259039
CLLU1,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,3.42056648,0.123878622,0,0.112383102
CLMAT3,1.21,0,0.27,1.26,0,1.59,4.73,0.93,0.77,1.31,0,0.34,0,0,0.97,0,0.614878582,1.184035811,3.966719391
CLMN,43.34,38.74,4.6,16.53,1.85,3.16,16.77,21.41,12.36,2.15,27.03,13.09,19.66,11.05,10.34,0,7.816707109,14.14051148,5.263677235
CLMP,2.82,0,3.22,2.23,2.43,7.38,0,6.38,13.24,2.7,0,11.04,10.04,2.08,2.43,0,2.961071406,0.903479965,2.270107541
CLN3,12.65,101.76,3.32,10.81,3.43,0,144.09,3.28,35.56,8.71,35.38,6.8,12.97,7.79,15.5,0.590739951,1.240859657,1.992925765,1.086894392
CLN5,0,0,0.79,2.05,1.17,4.13,0,0.75,5.06,1.19,0,3.53,0,0.62,1.84,0,0.369778826,2.603474901,1.308311913
CLN6,4.78,64.31,2.22,8.79,1.5,24.18,0,7.55,1.3,1.29,8.38,6.23,7.16,5.36,4.91,0.792962205,1.66563106,3.297271293,3.07423791
CLN8,4.41,3.27,2.68,5.31,2.28,1.78,0.17,3.09,0,2.51,0.67,3.37,3.45,6.66,0.34,0,2.310224972,5.004748623,6.470663547
CLNK,0,0,0,1.43,0.11,0.7,0,0,0,1.21,0,0,0.15,0.75,0,0,0.069046768,0.673106624,0.56375514
CLNS1A,16.87,46.05,24.87,46.65,27.8,48.93,0,19.75,34.22,45.63,8.09,22.25,18.74,55.24,22.14,0,6.997884683,20.74505179,7.016768117
CLNS1AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309242454,0.66992642,1.122183171
CLOCK,11.61,4.49,4.77,6.01,5.52,19.91,7.86,3.05,9.71,4.86,0,6.54,7.97,10.5,3.68,1.514830772,5.668953402,5.110447115,4.61201423
CLP1,5.53,0,1.24,0.26,1.39,0,6.07,0.57,0.31,1.92,0,0.75,0,1.52,0,0,1.632676234,1.872499256,1.394041753
CLPB,10.97,0,3.14,4.51,2.02,5.59,2.54,1.58,13.81,0.64,2.29,3.35,3.59,1.85,1.3,0,1.289721183,4.117449281,2.093754696
CLPP,0.61,0,7.5,1.83,3.49,41.88,1.02,1.2,2.68,1.21,8.16,6.1,8.23,2.97,1.43,9.89552155,1.314039586,3.234847199,2.60094791
CLPS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.040864016,0
CLPSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,7.40905144,0,1.162569513,0.48685046
CLPSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPTM1,50.51,0,21.88,22.08,5.9,43.85,41.59,7,34.91,12.92,0,18.89,58.77,15.54,9.16,0,8.527201339,7.263606535,4.806776353
CLPTM1L,23.76,0,13.54,49.81,5.39,3,0.76,37.75,14.22,7.8,0,18.69,10.19,11.76,9.6,0,6.440780379,6.34859879,11.33560933
CLPTM1LP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPX,33.3,0,2.7,9.03,6.88,22.96,19.85,9.68,1.22,12.73,1.02,14.2,10.94,4.67,8.41,1.066382427,6.758485051,14.89221529,8.198451193
CLRN1,0,0,0,0,0,0,50.68,0,17.99,0,0,0,0,3.7,0.65,0,0.640335879,5.044325901,0.528104418
CLRN1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596461904,0.12489049
CLRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.075959213,0,0,0
CLRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398682215,0.333913142
CLSPN,2.3,0,4.67,5.5,0.58,0,0,0.22,2.37,0.87,0,2.93,4.04,0.63,1.65,0,2.111012609,0.905109639,1.755524585
CLSTN1,26.2,92.81,8.43,14.65,9.81,18.98,9.89,7.91,14.51,7.33,8.2,16.47,11.13,6.59,8.23,6.666873992,17.54509867,13.16358759,9.199718014
CLSTN2,10.93,0,1.09,0.25,0.28,1.83,24.4,0.6,2.42,2.76,2.81,0.93,1.01,7.84,3.12,2.792861128,34.6351972,5.978758244,0.681644011
CLSTN2-AS1,1.44,0,0.38,0,0,0,0,0,0,0.14,0,0.24,0,1.18,0.23,0,3.210931115,2.714532898,0.142095975
CLSTN3,16.55,34.69,5.53,32.41,3.35,40.52,34.2,16.45,24.89,13.9,10.89,11.21,21.58,11.06,4.72,0,7.051003646,5.702636664,9.211239631
CLTA,19.55,0,7.93,20.09,6.39,8.83,10.06,4.93,4.66,5.69,7.31,10.83,6.76,5.16,7.91,11.57756348,9.643692108,11.26328777,9.585630639
CLTB,2.18,0,3.59,9.42,13.59,14.46,4.81,6.66,62.64,4.46,0,15.36,11.86,9.19,4.88,0,5.068300305,8.514866651,8.820612887
CLTC,59.41,8.13,15.94,80.93,15.13,93.03,25.93,17.71,61.27,28.99,18.53,43.88,141.54,31.68,18.71,3.444119722,21.66766457,23.4698386,9.796158478
CLTCL1,0.95,0,3.2,6.34,2.77,9.86,0,2.38,8.29,2.51,0,3.81,4.81,4.55,0.8,1.158677762,0.545512056,0.909052564,2.017629969
CLTRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.793734565,0.429236636
CLU,133.57,1530.84,1.12,39.11,10.33,155.23,347.58,37.32,191.41,183.94,46.82,174.33,102.65,76.66,92.49,3.70629399,3.624114905,107.5163153,42.86329049
CLUAP1,6.97,0,4.6,5.37,1.45,10.62,6.39,2.38,2.76,1.67,21.62,9.91,20.62,6.59,5.39,0,1.660870716,6.547220481,1.580849827
CLUH,11.87,6.15,10.83,6.48,4.03,12.44,28.33,8.77,17.6,1.83,7.35,8.27,24.61,3.36,18.11,5.063925593,5.287866689,13.9053423,17.13671283
CLUHP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUHP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUHP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293679556
CLUHP3,10.08,0,6.95,6.73,2.13,0,2.32,2.01,20.17,4.49,1.18,1.78,16.19,2.03,2.52,0,1.38685445,8.573553931,6.566976319
CLUHP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUHP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494398529
CLUHP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.448253674,0,0
CLUHP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773059518
CLUL1,0,0,0,0.95,0,0,0,0,0,0,15.13,0.93,0,0.78,0.13,0,0.877393046,0.356388314,0.09949674
CLVS1,0,0,1.46,0,0,0,0,0.15,0,0.12,0,0.24,0,0.22,0,0.787706538,0.085582316,0.309001636,0.41408301
CLVS2,0,0,0.04,0,0.03,0,0,0.04,0,0,0,0.11,0,0.05,0,0,0,0,0.102325821
CLYBL,0.22,0,1.86,3.2,0.29,0.58,0.37,0.86,0,0.72,0.71,0.64,2.05,2.4,0.09,3.2231988,0.116730789,1.390836586,1.482579897
CLYBL-AS1,0,0,0,0,0,0,0,0,0,0,0,0.68,0,2.48,0,0,0,1.288828825,0.539724205
CLYBL-AS2,0,0,0,0,0,0,0,0,0,0.63,0,0.58,0,0,0,0,0.303458063,1.972186267,1.101192694
CMA1,0,0,0,0,1.84,0,0,0,0,1.32,16.7,0,0,0,0,0,2.025752595,0.487609198,0.408393235
CMAHP,36.44,0,1.78,34.96,6.08,54.07,0,25.19,7.99,11.19,0,8.91,26.31,9.88,6.59,1.373956454,5.050534477,3.988421206,10.38254407
CMAS,1.69,0,3.54,2.41,1.86,4.57,2.78,0,3.02,9.67,0,1.24,1.89,5.19,3.13,0,3.205218138,8.563790923,1.356966175
CMBL,1.01,75.8,8.9,2.78,1.9,3.08,0,0.93,1.28,0.16,0,5.2,40.15,3.58,5.6,1.192854247,6.436829101,12.82136525,4.31104985
CMC1,0.66,0,2.97,1.85,1.72,0.27,11.43,1.01,3.1,4.28,0.79,0.68,2.1,1.68,2.36,0,0.600693117,1.301309651,0.871921302
CMC2,0,47.9,3.53,3.79,2.03,3.59,0.48,0.58,2.19,5.28,0,2.15,0,2.49,1.97,2.317539968,0.470017025,1.054584904,0.822344831
CMC4,0,0,0.65,3.25,1.09,0,0,0,6.79,0.84,0,3.27,0,0,0,0,0,0,0
CMIP,7.97,0,10.67,6.11,20.61,6.35,0.86,5.79,20.3,8.64,0,7.54,9.11,9.19,7.82,1.374010483,7.513898477,8.336487446,5.5676701
CMKLR1,7.06,0,0.19,6.66,2.95,19.66,2.79,4.24,9.65,5.88,9.39,13.2,2.62,1.06,3.65,0,1.861130899,2.096564645,3.309311437
CMPK1,23.86,27.81,5.59,28.92,10.92,65.59,4.57,11.98,8.38,10.1,0,16.05,10.99,12.37,9.81,3.029924262,15.58182945,19.49269777,8.660720116
CMPK2,0.32,0,0.35,10.33,1.8,3.82,0,0.99,7.7,1.9,0,1.08,8.72,1.24,0.28,0,1.078538767,1.380652636,1.690056895
CMSS1,10.6,0,7.42,9.91,4.36,30,0,5.47,3.85,5.37,0,9.05,0,6.35,1.95,0,1.316865673,2.092044402,1.221213072
CMTM1,2.66,0,1.25,3.4,1.11,2.5,0,0,13.54,0.69,0,0.4,0,3.19,0.37,0,1.439613334,1.247480733,2.873248514
CMTM2,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0.79,0,0,1.099409315,2.778652241,0
CMTM3,1.59,0,4.89,10.86,3.81,29.13,11.82,14.68,25.95,3.21,8.62,9.83,29.23,3.89,3.49,11.18830823,2.971420927,3.364862576,3.798462471
CMTM4,4.36,0,1.46,7.11,3.29,7.47,1.94,7.43,4.97,1.65,0,6.03,2.96,6.54,3.85,0,4.190646789,8.237802442,2.581447978
CMTM5,0,0,0,0,0,0,0,0,0,0,13.94,0.19,0,0,0,0,0,0,0.131499815
CMTM6,2.37,0,2.46,19.23,6.27,13.76,2.85,1.7,2.17,5.17,0,5.68,1.66,7.24,2.59,0,9.241033638,17.76859548,10.11972389
CMTM7,2.7,0,13.64,4.8,1.02,2.04,0,4.48,21.61,6.03,0,2.13,10.77,1.87,0.45,0,1.245938179,1.594942975,2.7744201
CMTM8,0,0,0.58,4.95,0.34,0,1.44,2.49,2.06,0,0,1.48,0,4.92,1.13,0,3.60518553,7.419578248,3.270636421
CMTR1,18.67,0,9.4,28.78,3.94,11.18,8.93,10.04,7.89,12.36,24.21,15.52,4.11,8.81,4.9,4.415098129,10.03349919,13.85564271,8.413396039
CMTR2,12.83,0,3.08,7.12,3.89,9.22,1.53,3.59,7.97,10.47,0.99,2.86,14.2,7.96,4.4,0,2.503468981,6.568318413,3.02820729
CMYA5,5.48,0,0.73,9.57,16.06,9.58,4.59,1.36,4.85,0.42,1.48,3.54,5.79,4.35,4.05,1.63811939,5.947415243,14.71557924,5.059136337
CNBD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174986526,0
CNBD2,0,0,0,0,0.23,0,0,0.35,0,0,0,0.17,0,1.26,0,1.163539347,0.168554129,0.730293416,0.229369307
CNBP,81.06,65.89,36.43,38.26,36.01,74.68,23.26,28.59,58.84,37.48,9.72,52.82,54.91,46.98,24.04,0,35.48401846,47.42271553,21.78112447
CNDP1,0,5.74,0,1.09,0,0,0,0.12,1.68,0.26,0,0,0,0.15,0,0,0.088901231,1.540727223,0.91405028
CNDP2,16.86,5.2,8.84,60.37,8.37,17.29,32.74,28.15,53.46,18.43,13.59,36.2,113.97,33.25,16.05,2.462998829,5.583890175,8.231900806,7.541940405
CNEP1R1,0.46,0,0.96,3.09,4.68,4.96,1.52,3.19,1.11,4.07,0,1.91,0,1.31,1.09,1.393852186,0.706713008,2.624546588,1.282264829
CNEP1R1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNFN,0,0,4.04,0,0.75,2.72,0,0,0,0,0,1.75,0,0,0,0,3.096460329,0,0
CNGA1,0,0,0,0,0.53,17.85,0,0.76,0,1.25,0,0,0,0,0,0,0.176242357,2.927149255,4.476854421
CNGA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.164623605,0,0,0.135026274
CNGA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340896715,0.09712335,0,0
CNGA4,0,0,0,0,0,0.56,0,0.25,0,0,0,0,0,0.81,0,5.246409398,0,5.350961838,0
CNGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796650401,0,0.125004054,0.104696159
CNGB3,0.7,0,0,0.18,0,0,0,0,0,0.08,0,0,0.15,0,0.21,0,0.167883266,0.636463429,0.076152132
CNIH1,7.79,0,12.61,16.38,6.09,33.69,19.55,5.84,10.06,7.02,0,8.11,31.76,7.05,8.74,2.32058754,4.622309003,8.192883774,4.040887915
CNIH2,0.53,0,2.02,0,0.6,0,0,0,0,0,0,1.8,5.2,1.31,0.24,0,0.405973731,1.97882982,1.289052564
CNIH3,9.01,0,3.55,1.1,0.46,3.19,0,0,0,0,0,0.81,8.74,0,0.71,0.914640244,0.298120022,1.004626584,0.781315847
CNIH3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIH3-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204017754,0.110493306,0.370171184
CNIH4,2.69,0,1.27,13.84,2.8,24.65,0,1.22,14.97,4.66,6.28,2.55,0.16,1.11,2.62,0,3.604831386,4.757398895,3.458264286
CNKSR1,6.22,0,0.2,1.05,1.86,0,0.51,5.64,4.74,0.83,0,10.55,6.83,4.47,1.94,0,2.66292113,4.153543804,1.352854156
CNKSR2,1.86,0,0.37,0.38,0,1.11,0,0.66,0,1.05,0,1.62,0,1.05,2.95,0,0.039711913,0.157721262,0.108080344
CNKSR3,0.63,1.09,1.55,0.99,0.52,0.14,0,4.54,3.53,0.46,0,0.9,0.44,1,1.8,0.809608568,0.987128166,2.583092722,2.039316606
CNMD,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,3.559605399,0.12891403,0.279272505,0
CNN1,5.18,0,0,4.09,4.25,14.99,0,1.84,6.7,10.18,0,0.9,2.91,6.24,0,0,0.892083272,2.415702248,1.21395141
CNN2,19.6,0,1.1,11.41,6.58,125.55,3.87,33.95,24.81,14.53,4.81,19.71,18.92,8.74,13.35,6.399466409,7.474322143,4.393171331,8.725590737
CNN2P1,0,0,0.64,0,0.38,0,0,0,0,0,0,0,0,0,0,6.343697638,0,0.497701327,0.416845818
CNN2P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229742215,0,0
CNN2P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.487708538,0
CNN2P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50788719,1.683892019
CNN2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465570317,1.512880194,0
CNN2P4,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,6.441940743,0.23330017,0,0.423301395
CNN2P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN2P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN2P8,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,1.501280893,2.514771925
CNN2P9,0.87,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.232016891,0.502629063,0
CNN3,23.58,0,19.44,17.57,19.41,88.91,8.65,16.59,26.99,14.1,11.28,22.87,16.64,13.59,23.63,0,12.57993413,10.99950335,13.06256695
CNN3-DT,0,0,0.61,0,0.36,0,0,1.85,0,0.93,0,0,0,0,1.13,0,0.837915588,1.815215806,2.736575408
CNN3P1,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
CNNM1,0.63,0,0.83,0,0.15,0,0,0,0,0,0,0,0,0.1,0,0.945989999,0,0.371093095,0.186483656
CNNM2,6.48,0,3.08,1.42,0.34,2.11,5.49,1.71,4.78,1.13,2.71,1.49,13.4,1.27,0.46,0.356745555,1.369502295,1.903241096,1.75813738
CNNM3,12.48,8.87,5.56,3.01,1.61,0.61,7.41,3.73,7.38,4.49,1.86,4.97,0.63,8.1,2.29,0,4.263206908,11.17583385,7.865194464
CNNM3-DT,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,1.524602555,0,0
CNNM4,0.79,4.89,1.65,5.27,0.51,0.21,11.21,1.8,8.51,1.35,1,2.76,2.09,3.24,1.38,8.011910579,5.430098135,6.375624432,3.158786826
CNOT1,32.76,18.78,35.17,22.37,27.81,44.96,50.54,15.4,112.96,23.7,0,31.15,50.1,13.92,12.4,0,7.657904459,16.25283107,9.380586737
CNOT10,1.13,0,18.26,18.62,4.92,4.98,0,5.64,21.83,2.3,0,13.27,6.62,6.99,2.29,1.201715731,4.178027639,4.431246691,4.264110794
CNOT10-AS1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,1.81,0,1.810329215,0.980450254,3.284673487
CNOT11,16.51,0,5.91,31.47,5.35,43.04,38.19,7.9,11.11,7.98,0,11,1.26,7.52,9.13,0,10.69347129,12.68198978,7.081133627
CNOT2,60.44,73.12,13.25,32.55,10.37,133.18,15.28,17.99,14.54,18.87,12.66,21.52,53.72,15.29,24.05,1.225401087,4.600613238,7.72325498,4.133431088
CNOT3,28.5,20.04,7.34,7.96,2.07,21.48,13.24,10.05,22.09,6.92,28.04,13.15,11.17,12.22,3.69,1.707525123,3.864963962,7.368110252,11.10798465
CNOT4,17.72,0,6.42,6.8,2.79,10.1,7.18,9.24,0.47,4.85,0,6.81,4.38,7.74,5.96,9.152544471,6.23760454,6.723767867,4.045888003
CNOT4P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381059065,0
