index,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
CNIH1,97.49240593,36.51115677,104.445195,139.7364789,85.54426838,76.72197022,73.23919536,101.263007,105.5748603,122.7016817,134.0234488,197.5268469,88.21200697,174.3220547,109.8052252,159.0674119,92.96653679,112.0163014,160.9017457,51.58219976,0,125.499892,186.3922023,75.29275022
GMFB,221.5543816,80.59055743,221.0198037,211.7318465,129.1242738,124.0163948,120.4284124,150.2878754,212.1624734,202.5678345,180.2967132,281.4720269,192.8567466,237.4725222,154.9422807,211.4634967,122.2490219,196.5863829,183.1273829,55.72221956,175.4012591,136.5096592,238.6019789,64.63046235
CGRRF1,38.99806191,21.1101454,43.65901927,48.00526949,33.12109209,23.34589007,17.84818266,33.3075999,53.36605006,41.88510394,39.22639284,59.39892345,25.60856471,72.54139918,31.79108834,47.6438649,45.41343697,44.59609924,57.08703349,36.67107872,0,43.91884961,50.17415683,27.70283069
SAMD4A,176.876841,112.4998353,388.2011864,238.3585242,375.121677,289.1882156,144.8971371,228.5743713,189.9268401,263.5358847,464.81437,390.7474024,240.1878661,402.5934143,285.0380687,470.0672107,142.3178977,441.0392006,380.018338,93.92911672,73.91703644,279.5187015,351.7649583,122.5636304
GCH1,20.58916546,11.9332191,22.26959815,18.10444217,17.61422289,24.19458966,21.21717296,14.92975484,33.86086581,41.34827221,25.39040729,21.64586014,38.05942145,19.44271984,22.54796527,20.88356701,32.58302136,49.09349831,14.79058355,72.00794384,155.8322753,12.80121854,22.69760595,0
MIR4308,30.9790684,53.86522511,0,15.9456469,0,0,19.64553052,22.94170366,0,68.64974952,45.09225338,29.68314155,47.39199989,0,33.46159229,8.768939636,24.51268968,21.48873663,0,162.5179288,0,10.27258278,0,0
WDHD1,26.85078979,34.16131565,18.21467009,40.24865054,51.51043103,24.44542338,52.3286054,61.83590264,14.73393061,30.04098419,45.08872282,36.89708387,28.85375753,52.61042888,32.11495446,65.62286646,68.40215004,21.9413259,51.93843346,66.65118314,142.7527107,88.73253031,45.36548523,78.90057697
SOCS4,146.6492101,94.76884367,170.1959052,173.6432051,153.0366895,119.3788063,126.0560318,177.5441641,145.527454,171.8948211,158.581466,231.1947583,128.9756726,194.8826284,129.7990556,256.3234255,105.9850195,128.4931271,223.1500946,54.19571476,64.70888773,176.716424,174.4502771,107.2953757
MAPK1IP1L,176.3061693,113.8630841,216.3813657,289.8408272,263.3040919,190.5654536,179.1168709,221.1601286,244.270169,323.3202392,445.9535924,422.3271752,207.6984635,326.3081651,242.5125783,342.9203614,265.3444178,214.1417004,647.2205814,86.82847759,196.0751671,300.0687124,252.1859236,252.8687691
LGALS3,123.6204298,91.26959017,205.2375019,243.7530334,234.2955978,311.4123866,148.3465367,201.54584,195.9241434,202.2966698,2010.880734,399.811264,125.1071211,274.930138,705.021598,219.3191956,364.7809264,424.6590648,1186.979642,123.7176047,207.2803116,200.5466024,124.6074076,171.8482553
DLGAP5,28.83456241,42.45424331,4.742869855,68.22449423,75.6574211,19.67449952,46.89366834,71.81001989,4.130234883,23.96156812,49.92490939,38.54599782,29.17038859,63.48477746,48.2248803,100.7075052,80.59134507,8.22629701,88.20072759,120.770204,0,90.67974655,34.22969008,105.0581911
FBXO34,108.0681318,62.99696977,97.68044958,141.1529146,85.50593637,79.27838845,81.60451138,82.57471307,175.0573888,136.6970834,118.6576212,111.5279202,89.19181458,113.2585622,98.73543775,140.925177,106.7647545,98.79362414,107.6984239,69.91062508,113.4701034,102.1197531,162.268851,31.35792161
ATG14,218.388561,95.51027975,213.2705759,205.3704122,315.478619,169.6223416,144.72012,136.8284296,343.940481,239.8540278,198.3116922,202.5542137,151.512931,228.9597904,233.372132,198.0314505,210.999379,192.4172038,218.1059186,78.5907596,362.8333574,276.3662076,204.6664995,275.7437776
TBPL2,0.347500975,21.75197292,0.644336702,1.609801494,6.586124056,1.729494239,2.644433688,1.544061485,6.172187318,4.620381979,1.011625128,1.664820984,2.658047356,0.363490815,7.882311105,0.590182061,25.57181712,2.530975004,5.991200233,43.7522301,0,2.419839815,1.002991236,0
KTN1-AS1,6.185885715,7.529047859,9.367065658,12.25847402,11.23549901,5.13113846,6.080355865,6.41338394,7.32476513,11.4804077,6.002666541,10.3724524,6.308808071,10.02930883,9.354232875,11.55645293,13.94984448,11.79986709,12.44246675,24.33862733,0,13.74320393,7.588080562,0
KTN1,205.4209372,130.8081047,236.2816924,237.2606668,190.7422533,140.4366442,141.3130347,191.134749,202.841573,233.3009678,212.7041969,293.3038195,167.8644156,277.9364343,194.8474344,229.5957627,243.4186226,208.6863414,315.0298373,78.13397521,259.30675,198.6235262,220.2281004,85.99256192
RPL13AP3,9.22737988,8.493997211,5.032181838,11.73417494,18.86013483,3.37677858,11.3589667,3.014727444,6.427192245,4.510569201,2.370196316,3.120486003,7.473235544,2.838813734,4.103985038,1.382772441,30.92321139,7.341868811,0,51.25484322,0,5.939566031,14.88312726,0
PELI2,106.2969284,50.34326809,121.2897756,118.603415,69.01726759,67.88050087,81.85952548,49.73276049,111.89958,110.2769113,52.48478145,90.29097912,89.40683056,100.2515242,92.95244243,86.85044492,61.41135863,76.84806128,92.44114718,38.67614171,0,129.7456837,122.8378959,141.3066343
TMEM260,83.41551681,38.91749168,76.08569168,85.60512986,74.792801,48.99340933,42.3844046,50.53171708,101.2270835,78.87662314,85.8216413,72.47952427,43.43483835,65.57582354,78.23595532,65.20323661,83.87822123,65.76799288,91.11270651,60.88382268,56.46796397,90.29997318,64.60197964,31.21030008
LOC101927690,2.254541366,15.68044289,0,1.740697303,8.902066826,3.272714334,3.57432159,1.252208893,8.898745058,3.747055062,0.273470539,0.360038105,0.574835578,1.179140691,2.029341851,1.276341618,20.51533732,3.127740642,0,55.19476827,0,0.747600364,2.711365573,0
OTX2,0.494492963,25.79416633,0.916889413,3.054324324,13.27705243,0.307633213,35.74870998,11.26062635,2.927668711,0.410924454,0,0.710710749,0.378239432,1.293116158,6.40943299,0,22.88962067,2.058040399,0,55.77396256,0,0.245958973,0,0
OTX2-AS1,1.670483289,21.1618873,0,3.685013976,10.93036656,0,6.810076913,1.855627101,0,5.156076052,0,0,0,0,3.866460735,0.607946457,35.68851796,3.227908656,0,78.87104048,0,0.237397776,0,0
EXOC5,116.8272533,62.96945014,120.2484071,125.5144361,96.81326005,78.43808281,74.89464717,103.4032176,133.0156185,137.7673654,124.9509523,159.8134439,97.05632306,144.6512166,113.8745849,141.464539,110.1655935,117.9278848,142.2194301,60.16238593,0,138.1016641,157.5656449,40.39922102
AP5M1,91.74506193,43.23202529,99.35217613,105.657211,78.53949143,56.59666611,51.70249728,73.865801,125.5250047,116.6028045,63.2638877,116.2861409,75.48356323,108.3320453,73.42068096,114.5707529,66.34185583,86.96922019,126.2749337,39.43422207,0,90.1168814,111.3547157,106.430024
NAA30,73.8803352,49.67132182,88.68769424,96.50642693,89.37339606,51.75017013,63.71815224,66.99235646,110.8110348,104.9621612,91.92517866,117.3536712,54.08343772,105.6730396,85.23904961,99.45092885,67.55263606,79.14868024,116.9969609,40.76771388,0,107.358034,122.7318324,16.48322051
CCDC198,5.701113853,8.496754107,6.79565043,7.545846535,33.1231431,9.120261367,7.359900552,2.714135341,4.821958739,10.15207469,6.66834078,13.85165101,0.934457641,6.602384171,6.597831002,8.818035452,31.89991213,11.22823106,21.06253986,60.88488131,0,13.36836113,21.74425426,30.66328411
SLC35F4,3.132714782,12.25585178,4.356512479,11.79126839,38.3455695,8.282909031,8.567327564,20.2270428,15.06974979,23.42961957,3.277421506,4.690103124,1.797168535,4.50568648,9.939784789,6.318070271,32.06962141,5.704173067,13.50263948,73.95478782,0,8.95965436,14.41060337,58.97227113
ARMH4,94.75540829,66.90253208,88.36032369,75.97631757,87.31438975,105.6543801,140.7232853,66.56884826,60.87906161,81.59020462,57.85696727,92.48662649,170.6675814,134.505584,97.92989469,181.1154064,59.84142143,65.80410745,146.7816338,46.98304168,241.0095996,117.3600148,159.4042106,83.254971
ACTR10,116.177259,78.85740928,123.6434114,154.7742364,121.3458163,98.17170668,83.52390444,107.8896237,129.9648607,134.9199583,168.2000221,166.6782992,165.3733217,143.8347286,119.6713792,152.2916662,97.33461677,112.2612249,167.80849,98.86272618,0,145.4439016,144.9476299,0
PSMA3,410.5449441,198.0028117,466.7231232,444.8050262,494.0712987,360.0828436,268.8851578,404.0124837,430.3446858,519.9108243,435.1540325,520.7972627,570.8089539,489.9790677,376.2732898,572.2050623,442.8615417,307.8380828,524.4778058,129.9306518,293.4080497,491.4275317,492.6304282,202.7112506
PSMA3-AS1,300.9765557,250.8669804,380.9787509,346.041414,406.1803187,259.1624007,231.5303595,258.0871992,433.1211031,398.3404264,313.2052292,357.5077792,413.6325648,351.6694406,312.4135761,411.1767512,371.7002494,240.6845816,496.3299818,111.3430971,369.1262561,398.0144017,363.1564037,306.0285977
ARID4A,137.889917,86.10192448,135.5414023,176.6865014,139.3956826,89.83554715,129.4563715,118.4967175,134.9559377,180.651415,125.3611861,161.063619,189.4725666,138.7143705,127.7146638,159.5254822,164.4610944,144.9905555,185.8502645,109.5670611,244.762736,176.1563842,160.5901535,67.64117123
TOMM20L,38.45677457,14.32868057,45.83995397,36.05444298,41.21554618,20.50686026,15.67771401,39.6676748,32.52644745,61.63259532,34.985369,35.53203643,27.31460092,37.35300856,23.73630192,41.98723806,35.86339328,34.29729394,47.35901136,64.84705533,0,30.05869049,39.64203458,0
TIMM9,86.24257601,21.56891429,139.100736,108.5452616,125.0162006,79.37719004,98.89360277,95.80105491,122.4048777,110.9377043,175.8311278,161.8737422,109.3429828,137.7879192,103.3622914,124.901655,100.959044,94.03598627,264.7890487,55.77945861,0,135.1541081,129.5757012,88.9581717
KIAA0586,46.17773163,27.31079,57.63577813,52.44178238,54.60677288,32.86555961,42.89379409,40.29255567,42.1685499,45.07644059,51.49259183,62.77600279,59.16984591,52.10162109,43.05116044,57.83850762,54.86430122,37.1026977,46.35350368,48.99457776,25.70402105,89.57532297,53.02717326,21.31023027
DACT1,49.44891873,34.26505158,54.47161196,54.66184453,55.33263736,35.6443141,93.38055507,40.33565896,30.24874465,105.2322486,104.511921,51.05189528,65.03993702,30.15657462,91.45000616,21.84774424,53.27659846,55.05785597,91.23118452,86.15151985,99.43486152,25.23102301,34.49609377,0
LINC01500,0.368581748,1.922627747,0.227808232,0.758870387,2.910693413,0,0.233737951,0.136477526,0.727401825,0.816778747,0.447080949,0.117721037,1.127717976,0,1.061648639,0.104330804,4.666340457,0.255667989,0,12.89067003,0,0.1222208,0,0
DAAM1,110.0983135,68.02043504,164.9081503,109.3613555,246.6517395,112.1167405,93.14204242,116.1423748,177.0606864,127.0504221,185.9992309,102.574762,218.7190346,95.64358868,138.1508944,158.1429802,111.7693523,201.3245071,146.7391026,85.20357432,212.7564438,124.516707,132.406875,82.31454424
GPR135,81.34106205,101.6913111,130.5675763,89.53206802,133.778908,78.2058391,87.60556647,74.48793657,107.4607947,121.5026082,79.13568156,87.76118703,102.8397828,62.58235319,90.03770222,108.7475371,93.35212382,91.97801015,104.3097212,55.54410225,0,114.3544658,77.61140947,202.4750189
L3HYPDH,104.1652329,56.20920285,171.8309296,114.9976499,145.2303519,122.4555448,107.9688661,110.3901186,146.0268014,127.3548173,221.6788362,195.256096,263.7562204,94.68098038,159.3281429,171.8265312,117.0966905,168.1787397,156.8826569,70.34844212,130.4922431,197.2406475,92.96017387,108.1861762
JKAMP,96.52650416,54.16241256,109.0990904,115.7983875,112.3665943,86.1288131,80.11311859,96.75861293,116.1194174,106.0993715,189.2008755,152.7351166,160.0215389,120.6789507,103.0155503,117.5642666,125.0654333,99.63363889,119.3447086,62.54138225,0,134.4716508,107.3902717,144.7870932
CCDC175,11.42954449,32.51987504,11.07798888,21.25921184,23.79561167,37.49189017,26.6861958,15.87038662,15.37935287,50.51193138,1.890513728,19.16498487,30.20136142,5.706015605,12.34545703,32.20542861,60.42910892,40.00108304,22.39257603,69.49912669,0,36.17735674,19.11866385,0
RTN1,284.6018552,79.73735766,141.7187479,471.6615853,95.25551673,162.186131,84.8651668,34.73272547,354.6066374,264.4509478,30.34119059,163.1117971,179.0014497,54.80075462,57.78920948,109.6284995,140.197598,318.5341943,19.16706291,49.57350345,75.72842751,191.7417939,564.1422442,62.78357092
MIR5586,85.06117086,517.653943,52.57350653,21.89148133,22.3909613,246.9512579,0,47.24435585,0,212.0579127,30.95315698,176.589537,130.1271861,103.8043517,91.87759239,216.6968473,201.9180879,73.75371472,0,446.2356689,0,296.1637848,327.3491398,0
LRRC9,13.54613397,44.6704352,31.46874725,8.895961234,32.95289279,12.78624878,24.58616934,12.28013196,33.18642191,45.02743716,6.685774351,7.608653371,23.34311834,11.72643564,10.42716037,17.4529975,47.30967361,12.31242207,10.73776542,78.41520317,0,35.47024161,14.60563979,0
PCNX4,108.794969,65.51948782,144.1013052,119.3623038,134.3721795,74.12827141,87.42626504,110.5676251,136.8233527,170.2220714,131.2108472,120.9693731,145.362414,125.1930509,104.8069536,145.2663447,142.3252893,104.3941973,142.6249221,63.90268074,144.7539169,147.903381,129.1874054,114.2952283
DHRS7,65.13327677,48.34441257,84.96875431,69.56895807,63.83732674,46.12623416,64.16088776,61.48503682,85.35564512,74.87767001,97.42924552,72.2755718,69.31572283,106.6387404,83.42225225,80.01353784,124.0572965,109.8247066,39.94686693,67.52822526,140.2922146,77.8553642,108.1151389,38.77032044
LOC101927702,4.2431698,13.83349155,17.70230309,3.685598157,20.10501028,5.609478025,5.549831227,2.94590678,7.850589132,8.815202459,4.246163365,4.319772343,6.085529472,6.380220366,5.442548144,6.530830439,23.29249556,7.726134224,0,73.73594043,0,4.484891086,8.802567824,0
PPM1A,168.4530749,69.25528943,151.0930875,167.2665817,112.8348745,84.60737526,75.77561771,103.7838975,252.0369434,192.2893494,110.2766333,159.992806,176.4572876,178.1147124,96.66682217,169.9504015,111.557751,149.6171561,176.8236809,54.90968569,0,153.599571,215.629596,95.21146722
C14orf39,0.731362443,15.25998217,3.164217166,3.764492564,9.625959756,1.213317585,4.637971355,1.624842317,0,9.319038426,0.887125358,3.270249928,6.7130609,3.060060832,4.476499814,3.105293401,47.45359513,5.580432626,21.01547502,60.10937093,0,1.212589923,1.407286451,0
SIX6,0.645397258,15.14959456,0.598348165,2.989808793,9.683745225,1.606054257,16.57591637,5.735425916,3.821104649,12.33550187,5.166820699,3.091993911,14.80999997,2.025283317,10.10818934,1.096117454,12.25634484,18.80264455,0,42.32237729,0,1.284072847,1.862808569,0
SIX1,12.30277399,24.06554459,6.273249813,13.53576976,22.10278934,17.98639031,21.65017649,24.42854877,15.47831911,89.9679012,37.4939724,29.17559748,50.81635289,10.93854067,66.77553277,7.182501577,23.3634461,14.56090069,39.77059835,54.05312248,0,25.54830433,20.19600951,0
SIX4,10.74727982,16.75382722,9.620229595,11.4452583,17.36448646,13.52586589,16.21604934,12.89899067,14.62753397,26.89567613,35.15277794,19.53011307,22.67760739,15.76436744,32.82408743,11.53910089,25.51187774,15.16683981,42.59583211,40.82749917,67.31788587,32.93416437,16.757849,18.6035698
MNAT1,91.90643403,40.51354048,68.40522406,74.95729035,74.96380648,53.41859904,63.20824031,66.86349769,109.8491204,83.54570046,97.19200808,76.89901308,100.6636882,94.33003874,73.87097457,101.6785353,71.69819474,70.70997101,96.70912896,39.61295917,235.1351071,100.2272346,107.4153943,32.49026854
TRMT5,67.95843514,34.81604322,65.2544575,72.84852938,73.55231812,42.08945671,69.83889902,73.46837201,68.25598902,65.54967922,87.65757416,97.67336239,92.1281913,84.41398494,67.17806069,94.93641448,64.09574898,60.60805806,83.6899178,45.36000951,0,112.8754525,88.66076912,22.84453593
SLC38A6,140.7329663,69.51094331,159.7021128,118.6954672,128.333662,118.2869725,75.12783703,107.4096957,187.6179458,167.9964873,136.130946,141.0742196,185.7099759,97.40247349,115.5000289,147.9356065,154.6914073,105.5106571,193.3235882,113.3868044,88.55826796,166.0278499,116.0898536,146.8406114
PRKCH,48.40523292,40.02375334,96.603074,81.62076426,45.781021,42.31252705,43.97217046,44.19460694,65.61741111,69.27171781,39.50295878,87.85940968,76.94893572,52.21790498,63.33449513,40.05905855,89.94463712,45.83087573,52.26117856,81.99517246,51.62054419,25.25449909,30.34837934,42.79663798
TMEM30B,4.951572408,8.940744332,10.59370521,7.646068389,8.722890435,6.871805917,5.797041792,2.327078548,15.78554707,69.9509999,7.06876513,14.78074466,6.409573756,4.382580292,8.228260399,4.043056185,11.30195733,3.764932341,29.55085853,30.97165446,0,2.273440451,7.695537041,28.68050344
LINC01303,4.514297554,12.61492839,7.473585401,5.477089971,12.22266816,5.416253908,6.13449488,4.835534494,6.681777443,8.574602485,7.157569517,6.024739408,4.686217414,4.72201754,10.10039582,3.559635095,53.19745049,6.374550054,13.89824495,92.19164696,0,2.245394925,3.257401569,0
HIF1A-AS1,8.980128723,6.691845451,23.78709268,15.84782084,20.26175946,9.577206978,7.321877171,22.80095701,0,14.92500306,14.93853793,29.50103638,1.962552143,24.15429919,5.542717741,19.60907054,27.40759322,13.34806493,0,40.38022157,0,12.761951,11.10828178,0
HIF1A,378.5147792,270.2045334,846.3660924,959.3577261,647.581724,880.7051537,513.1293577,775.9961116,409.5547645,465.0050957,2120.622758,1619.382199,894.0444196,872.8841344,1066.40555,633.6158974,914.7073621,326.9304151,1058.254624,154.18853,530.9369892,636.9420122,600.3863482,440.1797477
SNAPC1,34.83801136,33.65278237,57.4192713,43.83361785,53.49479571,42.94538293,42.34433863,38.69919468,9.549077564,53.07581387,63.85605646,58.10706768,62.17801143,47.23838604,60.62574646,50.12803402,59.72663842,39.94021065,105.6673969,93.07332212,0,52.62668323,29.32792018,0
SYT16,78.73490681,21.76672744,11.60592769,40.52668745,8.498394267,8.334529691,31.33690374,95.57311345,106.9487912,55.93846024,2.397579443,13.62571937,131.2006173,11.88846891,6.701543789,88.77385758,20.07163523,29.64963238,43.54454983,37.15701365,29.92053336,59.42642608,133.3562571,33.07464123
LINC00644,25.51835126,44.37033797,0,13.1348888,4.478192261,0,16.18258954,9.448871169,67.14781864,4.71239806,0,0,8.675145743,0,15.31293207,0,53.84482344,0,0,89.24713378,0,11.2824299,32.73491398,0
KCNH5,23.09655225,13.46521261,0.629789021,14.05620494,12.3383962,1.098789983,11.11433165,0,16.89193277,27.66089254,0,0.390535932,6.547047171,0.923738415,1.760993406,0.346114242,19.83431555,11.16758107,0,48.82269298,0,6.757729269,9.803459376,0
RHOJ,116.7976146,76.95786204,232.5237841,389.1878492,387.0641336,140.2248253,69.38982337,246.5109101,145.5801556,209.4431206,525.5313234,419.5706967,310.0216984,392.6648269,316.4997742,279.4503384,76.36645632,144.3382963,268.4914848,88.14666692,0,531.00596,83.9824563,216.0101416
GPHB5,6.981926935,14.5678906,5.17835874,0,8.821814471,1.737434321,13.28287122,0,0,0,0,1.337971322,2.136200329,1.460638385,9.049712773,0,43.09158971,2.905822483,24.07482297,102.5572238,0,0,0,0
PPP2R5E,113.6618781,60.33444803,97.60788978,129.666028,102.2733488,68.8980488,82.12875639,98.23540585,114.8528197,123.3643623,130.114031,134.4758787,144.2039892,140.0409318,103.8825043,144.7018261,114.7991394,102.8167258,147.5998456,61.15657251,0,152.2096107,147.2073113,68.57838149
WDR89,36.49139251,27.19279049,45.91375882,52.32398312,48.57771038,42.16080105,36.69532874,44.58940659,52.46904183,59.34919527,57.66862195,58.94078465,59.41352931,49.89429663,49.26956172,77.46944178,43.31160814,45.29107829,76.39573771,62.90036384,0,59.63796109,54.54331355,117.7607708
SGPP1,120.8517974,53.62302536,96.69995085,102.9870827,64.54852364,56.77806199,68.68868944,92.18975073,108.3654282,125.430871,86.31192564,124.2047281,111.2348199,120.1182422,105.8914957,96.66336516,97.01470081,127.5700494,112.3924739,53.9290609,0,86.55020507,92.26933094,37.75922396
SYNE2,118.785787,85.30227282,57.48222908,173.4922039,262.6465224,231.3396723,202.5910066,173.6772776,114.4086671,169.4277175,204.9582676,186.0227271,218.790407,161.3270743,248.5730096,181.7995622,118.1124461,69.91488592,132.2847463,79.82588324,183.0164088,186.579826,279.918042,128.3885921
