index,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
PYGL,83.34909494,89.25797202,193.779515,159.3898242,237.1294415,313.4073919,174.6706331,131.4202323,140.5252001,125.3771547,396.0996379,346.5993224,121.3155967,139.9182973,211.2585043,250.4587394,252.4494293,126.5429441,263.2925591,128.3770089,300.7981117,251.1246523,87.89047172,193.962472
ABHD12B,50.91022908,25.88513455,54.18502139,64.13997189,136.7221322,64.03042942,57.3437107,69.21074938,109.9027278,75.75456869,77.84878813,81.88790203,36.55150947,49.98457968,45.46100311,119.0830095,87.25677277,35.95149214,155.2670026,80.02695637,0,148.2786718,62.86150052,55.3569638
TRIM9,458.0053527,154.1346341,522.232124,798.2057484,1245.155225,581.1528424,360.2412681,707.2674611,661.0250464,642.4718621,943.0279813,961.5545922,403.4015508,1165.519869,535.7146684,1269.22093,100.9966661,475.0860581,1331.64857,95.16701074,254.7844635,933.9379785,1046.648098,859.0107366
TMX1,109.2738233,68.17317553,139.003758,144.9122949,119.2629675,118.1202716,115.3407514,180.4642803,108.5432539,133.645777,209.9167694,250.4515068,111.6303747,194.2373281,146.655885,203.0043779,119.7866203,156.9475208,281.6566203,101.8911233,0,190.5042451,124.6917486,191.3527339
LINC00640,2.988453204,20.78483478,2.462752588,3.589194835,13.63546433,7.84983724,4.421999128,1.844261608,1.96591966,9.381769064,4.83323081,7.953997834,6.095676048,3.473292548,6.097209552,2.819706671,31.52882675,4.491393346,11.44963792,43.54886937,0,6.606424811,4.312782682,50.00586388
FRMD6-AS2,6.38499883,19.03198794,6.765184046,2.817006322,30.25343627,3.404764967,10.41191694,2.02647546,5.400383451,18.19180931,2.655378061,6.991885032,11.16321917,6.678796891,6.89666406,17.81519579,28.14815947,8.541597059,0,86.13272998,0,1.814785616,22.37807983,0
FRMD6,39.52989665,36.60615713,58.1429705,68.72241894,87.12642643,47.195071,52.22047401,73.21804766,56.27445028,95.52164994,128.265815,107.585626,50.82459801,101.3742917,59.4888546,62.00653556,67.05584759,49.44851328,108.7381209,62.44582268,96.81593144,89.78254803,71.91833832,13.37773695
FRMD6-AS1,33.77260485,33.27609465,64.01278453,32.44928413,59.26723719,100.8506964,27.84218524,28.76204167,39.99045727,62.99053397,40.14606408,34.51713903,12.05530011,53.77495191,37.28963448,47.79839236,72.15242576,52.31914478,19.40890843,66.93201374,0,41.43597656,53.07124064,113.0235721
GNG2,122.4690621,107.3842401,50.08452722,155.0969756,68.34174896,64.76988459,181.3554406,137.4991714,128.0929641,124.8722693,88.74952832,115.7126009,142.6217623,191.8821802,84.5535987,198.754842,89.9541547,59.34751805,361.7073262,93.55162793,0,102.787022,151.5734539,138.2275275
LOC102723604,67.98997809,123.7169159,52.77227215,65.92274057,77.41600799,60.98755748,84.2269626,72.01266339,93.61345226,89.34849253,77.10008162,63.6307798,108.8493003,74.4262905,66.60691244,147.6961288,138.8743497,26.32268684,272.6052734,165.8973186,0,62.91714215,102.6833608,0
RTRAF,57.7338883,34.74882267,71.3044439,86.65719243,57.86740899,46.21529169,57.03059342,75.12044514,56.17258993,89.74710075,80.73020601,107.929579,62.53547952,82.98407152,63.55966263,88.28196378,88.17114204,63.64161496,83.52833475,46.59618666,55.002945,73.29767342,65.83916722,0
NID2,38.34095903,67.57591367,49.7400314,110.3273122,50.8420545,46.56552304,52.52843587,99.28065329,20.14329509,112.0042358,79.52165616,181.8045982,86.48001982,59.67868637,97.24382641,98.897506,122.69767,22.46534458,60.91397245,48.0536429,142.6187125,44.25953218,29.45988621,19.70662877
PTGDR,7.958205563,12.88311979,19.84442889,19.91636409,13.43604601,1.365778423,5.742837169,1.829013776,6.498886647,165.103999,3.794672897,5.784706719,4.198110227,2.296384233,6.224646597,0.699098534,76.86754856,1.713176838,0,56.14546556,299.0875362,3.821886112,2.772211178,0
PTGER2,5.089867222,30.0902292,23.27950603,9.955517474,12.86231286,5.06640077,7.746635157,3.392393909,4.017972921,21.43041877,19.75644367,12.02980057,4.152808104,1.774690452,17.22627206,1.440738561,66.85550213,3.177543409,0,51.62334209,0,2.700459894,3.427870049,0
TXNDC16,98.78873428,39.63925186,59.31042428,77.22840985,57.49836123,45.2966344,47.06957872,72.0460622,110.9081074,95.75138844,62.50798107,107.1866833,73.53620266,81.15168613,60.12906031,104.4491318,58.73101648,72.63174822,82.26539445,59.33466743,0,80.51812294,124.4590697,79.84244948
GPR137C,94.50877977,26.82910521,44.8228543,67.90565878,51.38045802,27.03800365,61.1563402,87.70043735,86.78636206,65.60773718,18.62265007,33.26519629,71.99504119,59.31449273,24.86085712,134.9594405,44.5637307,40.13653345,75.3739961,50.59166884,140.1412468,94.52829092,112.2667904,77.45719977
ERO1A,82.43575653,69.93417292,138.882086,97.35314874,111.1243033,177.842479,114.0398454,77.4179931,197.456304,105.518639,290.8656421,189.7180946,84.41287992,118.448892,183.4691703,127.9621659,152.8138415,93.6122126,187.208936,73.8209005,0,88.61990737,159.2623597,33.3725715
PSMC6,84.10201963,70.00534672,97.25641791,107.2445493,104.0390823,79.87365862,67.87282565,93.05055619,138.3874434,111.1531143,156.9275533,124.412012,87.94038969,118.738632,101.7135766,126.4056894,125.8377066,87.73920987,171.6075528,76.27195214,60.94523402,135.0640667,130.7328469,50.52738513
STYX,92.65744239,63.91833757,106.1334917,118.7139491,81.65533791,72.26373926,63.86867236,82.04317866,96.39949982,116.0556873,113.6129322,147.0039268,71.9011678,115.7081792,109.1480476,96.64311196,104.3966086,89.42212379,170.7462008,61.6413577,91.47288886,108.0383796,79.69815062,0
GNPNAT1,38.38005282,39.16982455,43.31742283,55.72228179,48.42813152,37.63213415,24.60345493,33.82900094,45.6931696,48.18750186,65.73236087,74.34849718,30.63343235,63.27368925,53.62199303,48.00174413,75.26190409,36.02712628,133.0599256,30.63929032,0,57.47779047,43.64825266,62.82532226
FERMT2,164.2626392,60.31912305,179.4102748,206.3381405,243.3585031,184.8288913,89.31369333,216.7222477,159.7468266,151.4504488,382.5248903,423.213625,239.3455592,325.1365858,265.9253589,288.0414826,117.3063845,213.6914317,277.7494376,70.51469154,53.85908132,136.565995,161.7454031,59.5366991
DDHD1,108.599529,53.89453633,99.83873959,103.4571133,20.77533227,65.97608311,48.40452611,79.78349781,198.603458,125.270757,95.99740049,78.80561533,93.02520651,123.4041923,89.32863123,120.1650596,76.17114569,97.93587898,152.2358861,52.53069038,99.2130174,111.3846027,157.4478199,89.10823446
DDHD1-DT,9.328269667,16.21964028,28.82748034,16.80517061,13.50532889,8.70493348,5.915568669,2.590536241,27.61422839,21.96345379,7.354730918,20.11060426,9.513635666,7.318124103,7.556846586,6.601153443,46.13215298,6.470586124,0,89.71714657,0,4.639846868,23.5586422,0
MIR5580,0,75.225573,0,0,22.77701236,0,0,0,0,0,0,0,0,0,0,12.24627777,171.1661952,15.0050661,0,75.65489789,0,0,0,0
BMP4,6.754157355,33.82235065,18.53487803,15.0185744,17.92144771,5.714565145,18.50334851,7.202627894,1.599532179,41.75860491,12.19063827,19.67371009,6.199534869,6.78234413,16.63352407,4.588398647,44.25110551,20.52049414,9.315774522,77.95191352,0,0.537518866,12.08659514,0
CDKN3,26.42332305,54.65736078,8.447268205,52.76133164,59.72142566,17.00528036,39.00215617,50.10063226,24.27525306,31.04382056,52.38658848,40.59606123,18.12047055,55.27832111,45.76364828,100.1980308,61.64220494,12.79843873,47.12685935,105.1586598,0,54.83746394,69.03349404,0
