"interaction","name","selected","shared interaction","shared name"
"interacts with","GPR3 (interacts with) EGFR","false","interacts with","GPR3 (interacts with) EGFR"
"interacts with","FGF17 (interacts with) EGFR","false","interacts with","FGF17 (interacts with) EGFR"
"interacts with","SNHG3 (interacts with) EGFR","false","interacts with","SNHG3 (interacts with) EGFR"
"interacts with","HBQ1 (interacts with) EGFR","false","interacts with","HBQ1 (interacts with) EGFR"
"interacts with","TNFRSF18 (interacts with) EGFR","false","interacts with","TNFRSF18 (interacts with) EGFR"
"interacts with","SLC29A3 (interacts with) EGFR","false","interacts with","SLC29A3 (interacts with) EGFR"
"interacts with","UBE2D4 (interacts with) TUBB","false","interacts with","UBE2D4 (interacts with) TUBB"
"interacts with","RAB5A (interacts with) TUBB","false","interacts with","RAB5A (interacts with) TUBB"
"interacts with","PPP1CB (interacts with) TUBB","false","interacts with","PPP1CB (interacts with) TUBB"
"interacts with","ETF1 (interacts with) TUBB","false","interacts with","ETF1 (interacts with) TUBB"
"interacts with","ATP6V1A (interacts with) TUBB","false","interacts with","ATP6V1A (interacts with) TUBB"
"interacts with","TWIST1 (interacts with) ERBB2","false","interacts with","TWIST1 (interacts with) ERBB2"
"interacts with","SNAI2 (interacts with) ERBB2","false","interacts with","SNAI2 (interacts with) ERBB2"
"interacts with","SHOX2 (interacts with) ERBB2","false","interacts with","SHOX2 (interacts with) ERBB2"
"interacts with","RGS20 (interacts with) ERBB2","false","interacts with","RGS20 (interacts with) ERBB2"
"interacts with","PI15 (interacts with) ERBB2","false","interacts with","PI15 (interacts with) ERBB2"
"interacts with","OPN1SW (interacts with) ERBB2","false","interacts with","OPN1SW (interacts with) ERBB2"
"interacts with","NTNG1 (interacts with) ERBB2","false","interacts with","NTNG1 (interacts with) ERBB2"
"interacts with","MMP16 (interacts with) ERBB2","false","interacts with","MMP16 (interacts with) ERBB2"
"interacts with","LXN (interacts with) ERBB2","false","interacts with","LXN (interacts with) ERBB2"
"interacts with","IL20RB (interacts with) ERBB2","false","interacts with","IL20RB (interacts with) ERBB2"
"interacts with","HOXA9 (interacts with) ERBB2","false","interacts with","HOXA9 (interacts with) ERBB2"
"interacts with","HAS2 (interacts with) ERBB2","false","interacts with","HAS2 (interacts with) ERBB2"
"interacts with","GPR156 (interacts with) ERBB2","false","interacts with","GPR156 (interacts with) ERBB2"
"interacts with","FKBP14 (interacts with) ERBB2","false","interacts with","FKBP14 (interacts with) ERBB2"
"interacts with","EFCAB1 (interacts with) ERBB2","false","interacts with","EFCAB1 (interacts with) ERBB2"
"interacts with","DST (interacts with) ERBB2","false","interacts with","DST (interacts with) ERBB2"
"interacts with","DCLRE1B (interacts with) ERBB2","false","interacts with","DCLRE1B (interacts with) ERBB2"
"interacts with","CCDC80 (interacts with) ERBB2","false","interacts with","CCDC80 (interacts with) ERBB2"
"interacts with","BAG2 (interacts with) ERBB2","false","interacts with","BAG2 (interacts with) ERBB2"
"interacts with","ZNF648 (interacts with) MAP4","false","interacts with","ZNF648 (interacts with) MAP4"
"interacts with","RGS19 (interacts with) BCL2","false","interacts with","RGS19 (interacts with) BCL2"
"interacts with","IGF2BP3 (interacts with) ERBB2","false","interacts with","IGF2BP3 (interacts with) ERBB2"
"interacts with","IGF2BP3 (interacts with) BCL2","false","interacts with","IGF2BP3 (interacts with) BCL2"
"interacts with","YARS2 (interacts with) CMPK1","false","interacts with","YARS2 (interacts with) CMPK1"
"interacts with","SNRPB (interacts with) CMPK1","false","interacts with","SNRPB (interacts with) CMPK1"
"interacts with","SMARCD1 (interacts with) CMPK1","false","interacts with","SMARCD1 (interacts with) CMPK1"
"interacts with","RFC2 (interacts with) CMPK1","false","interacts with","RFC2 (interacts with) CMPK1"
"interacts with","MCM2 (interacts with) CMPK1","false","interacts with","MCM2 (interacts with) CMPK1"
"interacts with","GNA12 (interacts with) CMPK1","false","interacts with","GNA12 (interacts with) CMPK1"
"interacts with","GINS1 (interacts with) CMPK1","false","interacts with","GINS1 (interacts with) CMPK1"
"interacts with","FKBP4 (interacts with) CMPK1","false","interacts with","FKBP4 (interacts with) CMPK1"
"interacts with","EDEM2 (interacts with) CMPK1","false","interacts with","EDEM2 (interacts with) CMPK1"
"interacts with","DHX35 (interacts with) CMPK1","false","interacts with","DHX35 (interacts with) CMPK1"
"interacts with","CAMK2B (interacts with) CMPK1","false","interacts with","CAMK2B (interacts with) CMPK1"
"interacts with","AURKA (interacts with) CMPK1","false","interacts with","AURKA (interacts with) CMPK1"
"interacts with","SLC39A1 (interacts with) CHD1","false","interacts with","SLC39A1 (interacts with) CHD1"
"interacts with","SEMA4F (interacts with) CHD1","false","interacts with","SEMA4F (interacts with) CHD1"
"interacts with","PTP4A3 (interacts with) CMPK1","false","interacts with","PTP4A3 (interacts with) CMPK1"
"interacts with","PTP4A3 (interacts with) CHD1","false","interacts with","PTP4A3 (interacts with) CHD1"
"interacts with","OPRL1 (interacts with) CHD1","false","interacts with","OPRL1 (interacts with) CHD1"
"interacts with","NFKBIL2 (interacts with) CHD1","false","interacts with","NFKBIL2 (interacts with) CHD1"
"interacts with","MFI2 (interacts with) CHD1","false","interacts with","MFI2 (interacts with) CHD1"
"interacts with","MDFI (interacts with) CHD1","false","interacts with","MDFI (interacts with) CHD1"
"interacts with","KCNS1 (interacts with) CHD1","false","interacts with","KCNS1 (interacts with) CHD1"
"interacts with","HOXA5 (interacts with) CHD1","false","interacts with","HOXA5 (interacts with) CHD1"
"interacts with","HOXA11 (interacts with) CHD1","false","interacts with","HOXA11 (interacts with) CHD1"
"interacts with","CRABP2 (interacts with) CHD1","false","interacts with","CRABP2 (interacts with) CHD1"
"interacts with","BOP1 (interacts with) CMPK1","false","interacts with","BOP1 (interacts with) CMPK1"
"interacts with","BOP1 (interacts with) CHD1","false","interacts with","BOP1 (interacts with) CHD1"
"interacts with","MGLL (interacts with) TOP2A","false","interacts with","MGLL (interacts with) TOP2A"
"interacts with","HGSNAT (interacts with) TOP2A","false","interacts with","HGSNAT (interacts with) TOP2A"
"interacts with","RHOQ (interacts with) PGD","false","interacts with","RHOQ (interacts with) PGD"
"interacts with","ZNF598 (interacts with) EGFR","false","interacts with","ZNF598 (interacts with) EGFR"
"interacts with","ZNF239 (interacts with) EGFR","false","interacts with","ZNF239 (interacts with) EGFR"
"interacts with","SLC39A13 (interacts with) EGFR","false","interacts with","SLC39A13 (interacts with) EGFR"
"interacts with","RUFY1 (interacts with) EGFR","false","interacts with","RUFY1 (interacts with) EGFR"
"interacts with","RGS3 (interacts with) EGFR","false","interacts with","RGS3 (interacts with) EGFR"
"interacts with","MGAT4B (interacts with) EGFR","false","interacts with","MGAT4B (interacts with) EGFR"
"interacts with","MAST2 (interacts with) EGFR","false","interacts with","MAST2 (interacts with) EGFR"
"interacts with","LMX1B (interacts with) EGFR","false","interacts with","LMX1B (interacts with) EGFR"
"interacts with","HDAC7 (interacts with) EGFR","false","interacts with","HDAC7 (interacts with) EGFR"
"interacts with","C1orf216 (interacts with) EGFR","false","interacts with","C1orf216 (interacts with) EGFR"
"interacts with","NPTX2 (interacts with) PDPK1","false","interacts with","NPTX2 (interacts with) PDPK1"
"interacts with","NUP35 (interacts with) PTGS2","false","interacts with","NUP35 (interacts with) PTGS2"
"interacts with","CDC23 (interacts with) PTGS2","false","interacts with","CDC23 (interacts with) PTGS2"
"interacts with","WNT2B (interacts with) TOP1","false","interacts with","WNT2B (interacts with) TOP1"
"interacts with","VPS11 (interacts with) TOP1","false","interacts with","VPS11 (interacts with) TOP1"
"interacts with","TNNI3K (interacts with) TOP1","false","interacts with","TNNI3K (interacts with) TOP1"
"interacts with","TINAGL1 (interacts with) TOP1","false","interacts with","TINAGL1 (interacts with) TOP1"
"interacts with","SNX32 (interacts with) TOP1","false","interacts with","SNX32 (interacts with) TOP1"
"interacts with","SLC2A5 (interacts with) TOP1","false","interacts with","SLC2A5 (interacts with) TOP1"
"interacts with","SLC25A20 (interacts with) TOP1","false","interacts with","SLC25A20 (interacts with) TOP1"
"interacts with","SERINC4 (interacts with) TOP1","false","interacts with","SERINC4 (interacts with) TOP1"
"interacts with","REEP2 (interacts with) TOP1","false","interacts with","REEP2 (interacts with) TOP1"
"interacts with","RAB3C (interacts with) TOP1","false","interacts with","RAB3C (interacts with) TOP1"
"interacts with","PQLC1 (interacts with) TOP1","false","interacts with","PQLC1 (interacts with) TOP1"
"interacts with","PARP3 (interacts with) TOP1","false","interacts with","PARP3 (interacts with) TOP1"
"interacts with","NAALAD2 (interacts with) TOP1","false","interacts with","NAALAD2 (interacts with) TOP1"
"interacts with","MOBKL2C (interacts with) TOP1","false","interacts with","MOBKL2C (interacts with) TOP1"
"interacts with","ME3 (interacts with) TOP1","false","interacts with","ME3 (interacts with) TOP1"
"interacts with","MAPK11 (interacts with) TOP1","false","interacts with","MAPK11 (interacts with) TOP1"
"interacts with","LHX6 (interacts with) TOP1","false","interacts with","LHX6 (interacts with) TOP1"
"interacts with","HOXD4 (interacts with) TOP1","false","interacts with","HOXD4 (interacts with) TOP1"
"interacts with","GSN (interacts with) TOP1","false","interacts with","GSN (interacts with) TOP1"
"interacts with","GFI1B (interacts with) TOP1","false","interacts with","GFI1B (interacts with) TOP1"
"interacts with","GATA2 (interacts with) TOP1","false","interacts with","GATA2 (interacts with) TOP1"
"interacts with","DNAJB13 (interacts with) TOP1","false","interacts with","DNAJB13 (interacts with) TOP1"
"interacts with","CYP4B1 (interacts with) TOP1","false","interacts with","CYP4B1 (interacts with) TOP1"
"interacts with","CPO (interacts with) TOP1","false","interacts with","CPO (interacts with) TOP1"
"interacts with","CLYBL (interacts with) TOP1","false","interacts with","CLYBL (interacts with) TOP1"
"interacts with","CHRNA10 (interacts with) TOP1","false","interacts with","CHRNA10 (interacts with) TOP1"
"interacts with","CHRFAM7A (interacts with) TOP1","false","interacts with","CHRFAM7A (interacts with) TOP1"
"interacts with","CAPN11 (interacts with) TOP1","false","interacts with","CAPN11 (interacts with) TOP1"
"interacts with","CACNB2 (interacts with) TOP1","false","interacts with","CACNB2 (interacts with) TOP1"
"interacts with","BCO2 (interacts with) TOP1","false","interacts with","BCO2 (interacts with) TOP1"
"interacts with","ACOX2 (interacts with) TOP1","false","interacts with","ACOX2 (interacts with) TOP1"
"interacts with","ZHX2 (interacts with) VEGFA","false","interacts with","ZHX2 (interacts with) VEGFA"
"interacts with","ZFPM2 (interacts with) ERBB2","false","interacts with","ZFPM2 (interacts with) ERBB2"
"interacts with","ZFPM2 (interacts with) TOP2A","false","interacts with","ZFPM2 (interacts with) TOP2A"
"interacts with","ZFPM2 (interacts with) VEGFA","false","interacts with","ZFPM2 (interacts with) VEGFA"
"interacts with","ZFAT (interacts with) VEGFA","false","interacts with","ZFAT (interacts with) VEGFA"
"interacts with","TSPYL5 (interacts with) VEGFA","false","interacts with","TSPYL5 (interacts with) VEGFA"
"interacts with","TRAPPC9 (interacts with) VEGFA","false","interacts with","TRAPPC9 (interacts with) VEGFA"
"interacts with","TMEM71 (interacts with) VEGFA","false","interacts with","TMEM71 (interacts with) VEGFA"
"interacts with","TM7SF4 (interacts with) VEGFA","false","interacts with","TM7SF4 (interacts with) VEGFA"
"interacts with","SYBU (interacts with) VEGFA","false","interacts with","SYBU (interacts with) VEGFA"
"interacts with","SLC30A8 (interacts with) VEGFA","false","interacts with","SLC30A8 (interacts with) VEGFA"
"interacts with","SLA (interacts with) VEGFA","false","interacts with","SLA (interacts with) VEGFA"
"interacts with","RSPO2 (interacts with) VEGFA","false","interacts with","RSPO2 (interacts with) VEGFA"
"interacts with","RIMS2 (interacts with) VEGFA","false","interacts with","RIMS2 (interacts with) VEGFA"
"interacts with","RGS22 (interacts with) VEGFA","false","interacts with","RGS22 (interacts with) VEGFA"
"interacts with","PSCA (interacts with) VEGFA","false","interacts with","PSCA (interacts with) VEGFA"
"interacts with","PKHD1L1 (interacts with) VEGFA","false","interacts with","PKHD1L1 (interacts with) VEGFA"
"interacts with","PGCP (interacts with) VEGFA","false","interacts with","PGCP (interacts with) VEGFA"
"interacts with","OSR2 (interacts with) VEGFA","false","interacts with","OSR2 (interacts with) VEGFA"
"interacts with","ODF1 (interacts with) VEGFA","false","interacts with","ODF1 (interacts with) VEGFA"
