"interaction","name","selected","shared interaction","shared name"
"interacts with","CCND3 (interacts with) PCDHGA1","false","interacts with","CCND3 (interacts with) PCDHGA1"
"interacts with","CCND3 (interacts with) PRKAR2A","false","interacts with","CCND3 (interacts with) PRKAR2A"
"interacts with","CCND3 (interacts with) PSMD5","false","interacts with","CCND3 (interacts with) PSMD5"
"interacts with","CCND3 (interacts with) PTPDC1","false","interacts with","CCND3 (interacts with) PTPDC1"
"interacts with","CCND3 (interacts with) RACGAP1","false","interacts with","CCND3 (interacts with) RACGAP1"
"interacts with","CCND3 (interacts with) RAD51L1","false","interacts with","CCND3 (interacts with) RAD51L1"
"interacts with","CCND3 (interacts with) RAD54B","false","interacts with","CCND3 (interacts with) RAD54B"
"interacts with","CCND3 (interacts with) RC3H2","false","interacts with","CCND3 (interacts with) RC3H2"
"interacts with","CCND3 (interacts with) RCAN3","false","interacts with","CCND3 (interacts with) RCAN3"
"interacts with","CCND3 (interacts with) RCOR1","false","interacts with","CCND3 (interacts with) RCOR1"
"interacts with","CCND3 (interacts with) RPS6KA6","false","interacts with","CCND3 (interacts with) RPS6KA6"
"interacts with","CCND3 (interacts with) SERINC5","false","interacts with","CCND3 (interacts with) SERINC5"
"interacts with","CCND3 (interacts with) SP8","false","interacts with","CCND3 (interacts with) SP8"
"interacts with","CCND3 (interacts with) SPTLC1","false","interacts with","CCND3 (interacts with) SPTLC1"
"interacts with","CCND3 (interacts with) TAOK1","false","interacts with","CCND3 (interacts with) TAOK1"
"interacts with","CCND3 (interacts with) TBX22","false","interacts with","CCND3 (interacts with) TBX22"
"interacts with","CCND3 (interacts with) TMEM38B","false","interacts with","CCND3 (interacts with) TMEM38B"
"interacts with","CCND3 (interacts with) TRAF3","false","interacts with","CCND3 (interacts with) TRAF3"
"interacts with","CCND3 (interacts with) TRIP11","false","interacts with","CCND3 (interacts with) TRIP11"
"interacts with","CCND3 (interacts with) TRIP13","false","interacts with","CCND3 (interacts with) TRIP13"
"interacts with","CCND3 (interacts with) TSN","false","interacts with","CCND3 (interacts with) TSN"
"interacts with","CCND3 (interacts with) UBE3C","false","interacts with","CCND3 (interacts with) UBE3C"
"interacts with","CCND3 (interacts with) USP37","false","interacts with","CCND3 (interacts with) USP37"
"interacts with","CCND3 (interacts with) VRK1","false","interacts with","CCND3 (interacts with) VRK1"
"interacts with","CCND3 (interacts with) XRCC5","false","interacts with","CCND3 (interacts with) XRCC5"
"interacts with","CCND3 (interacts with) YIPF6","false","interacts with","CCND3 (interacts with) YIPF6"
"interacts with","CCND3 (interacts with) ZDHHC9","false","interacts with","CCND3 (interacts with) ZDHHC9"
"interacts with","CCND3 (interacts with) ZMYND8","false","interacts with","CCND3 (interacts with) ZMYND8"
"interacts with","CCND3 (interacts with) ZNF107","false","interacts with","CCND3 (interacts with) ZNF107"
"interacts with","CCND3 (interacts with) ZNF160","false","interacts with","CCND3 (interacts with) ZNF160"
"interacts with","CCND3 (interacts with) ZNF813","false","interacts with","CCND3 (interacts with) ZNF813"
"interacts with","AADACL2 (interacts with) ADAM12","false","interacts with","AADACL2 (interacts with) ADAM12"
"interacts with","AADACL2 (interacts with) AMELX","false","interacts with","AADACL2 (interacts with) AMELX"
"interacts with","AADACL2 (interacts with) ARHGEF1","false","interacts with","AADACL2 (interacts with) ARHGEF1"
"interacts with","AADACL2 (interacts with) BAK1","false","interacts with","AADACL2 (interacts with) BAK1"
"interacts with","AADACL2 (interacts with) BMP8A","false","interacts with","AADACL2 (interacts with) BMP8A"
"interacts with","AADACL2 (interacts with) C11orf24","false","interacts with","AADACL2 (interacts with) C11orf24"
"interacts with","AADACL2 (interacts with) C12orf45","false","interacts with","AADACL2 (interacts with) C12orf45"
"interacts with","AADACL2 (interacts with) C8A","false","interacts with","AADACL2 (interacts with) C8A"
"interacts with","AADACL2 (interacts with) CD151","false","interacts with","AADACL2 (interacts with) CD151"
"interacts with","AADACL2 (interacts with) HNRNPAB","false","interacts with","AADACL2 (interacts with) HNRNPAB"
"interacts with","AADACL2 (interacts with) LCN15","false","interacts with","AADACL2 (interacts with) LCN15"
"interacts with","AADACL2 (interacts with) MELK","false","interacts with","AADACL2 (interacts with) MELK"
"interacts with","AADACL2 (interacts with) PITPNM1","false","interacts with","AADACL2 (interacts with) PITPNM1"
"interacts with","AADACL2 (interacts with) PVR","false","interacts with","AADACL2 (interacts with) PVR"
"interacts with","AADACL2 (interacts with) TFB1M","false","interacts with","AADACL2 (interacts with) TFB1M"
"interacts with","ADAM12 (interacts with) C20orf111","false","interacts with","ADAM12 (interacts with) C20orf111"
"interacts with","ADAM12 (interacts with) C20orf152","false","interacts with","ADAM12 (interacts with) C20orf152"
"interacts with","ADAM12 (interacts with) C3orf15","false","interacts with","ADAM12 (interacts with) C3orf15"
"interacts with","ADAM12 (interacts with) C7orf46","false","interacts with","ADAM12 (interacts with) C7orf46"
"interacts with","ADAM12 (interacts with) COBL","false","interacts with","ADAM12 (interacts with) COBL"
"interacts with","ADAM12 (interacts with) ESYT3","false","interacts with","ADAM12 (interacts with) ESYT3"
"interacts with","ADAM12 (interacts with) GTF2IRD2B","false","interacts with","ADAM12 (interacts with) GTF2IRD2B"
"interacts with","ADAM12 (interacts with) KY","false","interacts with","ADAM12 (interacts with) KY"
"interacts with","ADAM12 (interacts with) PCLO","false","interacts with","ADAM12 (interacts with) PCLO"
"interacts with","AMELX (interacts with) CPN2","false","interacts with","AMELX (interacts with) CPN2"
"interacts with","AMELX (interacts with) DENND3","false","interacts with","AMELX (interacts with) DENND3"
"interacts with","AMELX (interacts with) FETUB","false","interacts with","AMELX (interacts with) FETUB"
"interacts with","AMELX (interacts with) IQCJ","false","interacts with","AMELX (interacts with) IQCJ"
"interacts with","AMELX (interacts with) LXN","false","interacts with","AMELX (interacts with) LXN"
"interacts with","AMELX (interacts with) PAQR9","false","interacts with","AMELX (interacts with) PAQR9"
"interacts with","AMELX (interacts with) SAMD9","false","interacts with","AMELX (interacts with) SAMD9"
